task,region,arm,seed,native,score,val_score,N,edges,n_out,epochs,wall_s
path,CX,degree,3,1,0.89984,0.89819,3499,466370,327,30,288.5
flow,AL,connectome,0,0,0.29954,0.28389,3499,258882,685,30,38.9
flow,MB,degree,3,0,0.25072,0.24567,3499,218164,96,30,35.3
flow,OL,connectome,0,1,-0.00221,-0.00078,3499,60742,22,9,8.4
mqar,MB,connectome,3,1,0.17513,0.18729,3499,218164,96,40,98.6
mqar,CX,random,0,0,0.19425,0.19104,3499,466370,327,31,137.6
path,AL,connectome,3,0,0.8961,0.8948,3499,258882,685,27,160.1
path,MB,random,0,0,0.89094,0.8951,3499,218164,96,30,159.3
path,OL,connectome,3,0,0.73672,0.73375,3499,60742,22,30,119.1
flow,AL,random,0,0,0.27821,0.2688,3499,258882,685,26,33.7
flow,CX,connectome,3,0,0.27984,0.28001,3499,466370,327,30,59.4
flow,OL,random,0,1,0.27454,0.26254,3499,60742,22,30,28.0
mqar,AL,degree,2,0,0.1725,0.18167,3499,258882,685,37,106.0
mqar,MB,random,5,1,0.1965,0.19688,3499,218164,96,28,72.8
mqar,OL,degree,2,0,0.0315,0.03604,3499,60742,22,7,13.5
path,AL,random,5,0,0.89909,0.90083,3499,258882,685,30,188.2
path,CX,degree,2,1,0.90104,0.89597,3499,466370,327,30,294.3
path,OL,random,5,0,0.89383,0.89379,3499,60742,22,30,118.3
flow,MB,degree,2,0,0.24158,0.23345,3499,218164,96,30,35.4
flow,CX,random,5,0,0.29027,0.24726,3499,466370,327,30,62.9
mqar,MB,connectome,5,1,0.197,0.18688,3499,218164,96,36,88.6
mqar,CX,random,2,0,0.19225,0.20083,3499,466370,327,36,164.5
path,AL,connectome,5,0,0.89978,0.90184,3499,258882,685,28,169.8
path,MB,random,2,0,0.89657,0.89089,3499,218164,96,30,161.7
path,OL,connectome,5,0,0.73465,0.73887,3499,60742,22,30,117.8
flow,AL,random,2,0,0.28599,0.27288,3499,258882,685,30,39.6
flow,CX,connectome,5,0,0.30512,0.26987,3499,466370,327,30,60.8
flow,OL,random,2,1,0.24945,0.24245,3499,60742,22,30,27.2
mqar,MB,connectome,4,1,0.18575,0.18958,3499,218164,96,40,98.4
