model,seed,epoch,train_loss,val_loss,val_overall_rmse,val_yaw_rmse,val_translation_rmse,val_yaw_r2,best_val_loss,patience_wait,train_data_gen_seconds,train_step_seconds
optic_lobe_seeded,1,13,0.018828483611079198,0.01787835070863366,0.13370995223522186,0.09592079371213913,0.14905403554439545,0.5538924336433411,0.01787835070863366,0,45.07548576837871,114.11830724251922
optic_lobe_seeded,1,14,0.01822178778903825,0.01777108112970988,0.13330821692943573,0.10133848339319229,0.1467033326625824,0.5001498460769653,0.01777108112970988,0,44.84035415091785,114.32533082703594
optic_lobe_seeded,1,15,0.01802864160521754,0.018081614623467128,0.13446789979934692,0.09012888371944427,0.15185782313346863,0.6061792969703674,0.01777108112970988,1,44.189558015263174,114.10849234717898
optic_lobe_seeded,1,16,0.01745061461946794,0.01900524782637755,0.1378595232963562,0.09774269908666611,0.15404881536960602,0.5323832035064697,0.01777108112970988,2,45.044356291065924,114.16428486828227
optic_lobe_seeded,1,17,0.017314537528104017,0.016348810152461132,0.12786246836185455,0.0926775261759758,0.142227441072464,0.5715910196304321,0.016348810152461132,0,44.186903801804874,113.96686864714138
optic_lobe_seeded,1,18,0.016828128908361707,0.015826928429305553,0.1258051097393036,0.08543132245540619,0.14174316823482513,0.6437278389930725,0.015826928429305553,0,44.92533961479785,114.10376010334585
optic_lobe_seeded,1,19,0.01611553374012666,0.01519969596217076,0.12328704446554184,0.0887150838971138,0.1373475342988968,0.6288162469863892,0.01519969596217076,0,44.12060283898609,114.03239943110384
optic_lobe_seeded,1,20,0.016112066246569155,0.015651834414650997,0.1251072883605957,0.08443701267242432,0.14111313223838806,0.6515252590179443,0.01519969596217076,1,44.283072307065595,114.25037194520701
optic_lobe_seeded,1,21,0.015647473305995974,0.015488484750191371,0.12445274740457535,0.08682480454444885,0.13951146602630615,0.6363508701324463,0.01519969596217076,2,44.89944496838143,114.1731879680301
optic_lobe_seeded,1,22,0.015638876633186426,0.01549752823387583,0.12448906898498535,0.08473750948905945,0.14020003378391266,0.6667796969413757,0.01519969596217076,3,45.04486803978216,114.22657446854282
optic_lobe_seeded,1,23,0.015047861582466534,0.014073187299072743,0.11863046139478683,0.08170957118272781,0.13330990076065063,0.6747440695762634,0.014073187299072743,0,44.84793591214111,114.11460298020393
optic_lobe_seeded,1,24,0.014986096069748912,0.015547515265643597,0.12468967586755753,0.08840857446193695,0.1393313854932785,0.6255800724029541,0.014073187299072743,1,44.21664492652053,114.2372042958159
optic_lobe_seeded,1,25,0.014848888026816505,0.017170662029335895,0.1310368776321411,0.10290789604187012,0.14304180443286896,0.4836052656173706,0.014073187299072743,2,44.84081172518199,114.08607038657647
optic_lobe_seeded,1,26,0.014774730848148464,0.013562232845773299,0.116457000374794,0.08031653612852097,0.1308356672525406,0.6783457398414612,0.013562232845773299,0,44.21186209510779,114.1374379111221
optic_lobe_seeded,1,27,0.014259974691750749,0.01417906026666363,0.11907585710287094,0.08036550879478455,0.13431032001972198,0.687838077545166,0.013562232845773299,1,45.07415640697582,114.13011424615979
optic_lobe_seeded,1,28,0.01428712504649801,0.014925829476366441,0.1221713125705719,0.08304686844348907,0.1376238465309143,0.6555231213569641,0.013562232845773299,2,45.08815613435581,114.01936858030967
optic_lobe_seeded,1,29,0.014873562393976109,0.014602160267531871,0.12083939462900162,0.0876707136631012,0.13438807427883148,0.6356707811355591,0.013562232845773299,3,44.267646802123636,114.14227063534781
optic_lobe_seeded,1,30,0.014448519543345485,0.01358800083398819,0.11656757444143295,0.08327539265155792,0.13005609810352325,0.6685830950737,0.013562232845773299,4,45.10176176944515,114.04061629273929
optic_lobe_seeded,2,1,3.908392376133374,0.03574231949945291,0.1890563815832138,0.14880038797855377,0.20625871419906616,-0.050478577613830566,0.03574231949945291,0,44.150756872142665,114.1632662176853
optic_lobe_seeded,2,2,0.03573721563443542,0.03207344940553109,0.17909061908721924,0.14741717278957367,0.1929876208305359,-0.027935385704040527,0.03207344940553109,0,44.81919871899299,114.0351730810944
