bodyId_pre,bodyId_post,weight
204962646,980391392,2
204962646,1008693462,14
204962646,1008693605,9
204962646,1009371535,3
204962646,1009375310,4
204962646,1009375497,2
204962646,1009375668,4
204962646,1009708586,3
204962646,1009721053,5
204962646,1010044978,9
204962646,1010386186,3
204962646,1010437434,7
204962646,1010731508,1
204962646,1010740063,1
204962646,1010752576,1
204962646,1010778549,4
204962646,1011076931,2
204962646,1012112398,7
204962646,1033887446,5
204962646,1035393986,6
204962646,1040056887,4
204962646,1040393594,3
204962646,1041071176,6
204962646,1041075688,5
204962646,1041139886,2
204962646,1041407603,2
204962646,1041407617,1
204962646,1041412396,2
204962646,1041446765,4
204962646,1041489616,1
204962646,1041748833,3
204962646,1041761742,4
204962646,1041839564,1
204962646,1042116109,9
204962646,1042154310,5
204962646,1042448496,6
204962646,1042495376,1
204962646,1042500369,1
204962646,1044822631,4
204962646,1071760251,1
204962646,1071760480,13
204962646,1072446964,6
204962646,1072451519,1
204962646,1072455791,2
204962646,1072472949,1
204962646,1072533704,6
204962646,1072533980,1
204962646,1072779230,4
204962646,1072779298,13
204962646,1072779568,9
204962646,1072805036,1
204962646,1072865814,1
204962646,1072874511,3
204962646,1073129213,1
204962646,1073138347,2
204962646,1073202108,2
204962646,1073457310,1
204962646,1073461640,3
204962646,1073543185,1
204962646,1073543472,1
204962646,1073548297,1
204962646,1073897808,2
204962646,1076185604,1
204962646,1076285102,5
204962646,1102795781,8
204962646,1103577592,5
204962646,1103810192,6
204962646,1103840073,1
204962646,1103923012,1
204962646,1104151060,4
204962646,1104155212,12
204962646,1104591732,1
204962646,1104595988,5
204962646,1104832963,3
204962646,1104837227,2
204962646,1104837598,1
204962646,1105187274,2
204962646,1133839128,5
204962646,1133890586,5
204962646,1134162552,10
204962646,1134840743,4
204962646,1134849005,10
204962646,1134849036,2
204962646,1134849078,8
204962646,1135173449,4
204962646,1135294306,8
204962646,1135522983,2
204962646,1135535240,1
204962646,1135863959,2
204962646,1135881013,1
204962646,1135984965,1
204962646,1136204852,5
204962646,1136273393,5
204962646,1136545839,5
204962646,1136891361,3
204962646,1164187272,13
204962646,1165875511,1
204962646,1166328873,4
204962646,1166674437,3
204962646,1166885674,28
204962646,1166890100,12
204962646,1166894615,1
204962646,1167235473,15
204962646,1167235569,5
