bodyId,instance,type,pre,post,downstream,upstream,mito,size,status,cropped,statusLabel,cellBodyFiber,somaRadius,somaLocation,roiInfo,notes,inputRois,outputRois
1350081920,,,2,1,4,1,1,596548,Assign,,0.5assign,,,,"{'CX': {'pre': 2, 'post': 1, 'downstream': 4, 'upstream': 1, 'mito': 1, 'dark': 1}, 'FB': {'pre': 2, 'post': 1, 'downstream': 4, 'upstream': 1, 'mito': 1, 'dark': 1}, 'FBl3': {'pre': 2, 'post': 1, 'downstream': 4, 'upstream': 1, 'mito': 1, 'dark': 1}}",,"['CX', 'FB', 'FBl3']","['CX', 'FB', 'FBl3']"
1350094981,,,0,11,0,11,0,339479,Orphan,,Orphan,,,,"{'CX': {'post': 11}, 'FB': {'post': 11}, 'FBl3': {'post': 9}, 'FBl2': {'post': 2}}",,"['CX', 'FB', 'FBl2', 'FBl3']",[]
1350095334,,,0,11,0,11,0,274990,Orphan,,Orphan,,,,"{'CX': {'post': 11}, 'FB': {'post': 11}, 'FBl3': {'post': 1}, 'FBl2': {'post': 10}}",,"['CX', 'FB', 'FBl2', 'FBl3']",[]
1350112024,,,0,10,0,10,0,143671,Assign,,0.5assign,,,,"{'CX': {'post': 10}, 'FB': {'post': 10}, 'FBl3': {'post': 5}, 'FBl2': {'post': 5}}",,"['CX', 'FB', 'FBl2', 'FBl3']",[]
1350396939,vDeltaM_C3,vDeltaM,24,218,166,218,23,123149747,Traced,False,Roughly traced,PDM02,255.0,"[28556, 16446, 7880]","{'CX': {'pre': 24, 'post': 217, 'downstream': 166, 'upstream': 217, 'mito': 15, 'dark': 15}, 'FB': {'pre': 24, 'post': 217, 'downstream': 166, 'upstream': 217, 'mito': 15, 'dark': 15}, 'FBl5': {'pre': 3, 'post': 39, 'downstream': 21, 'upstream': 39, 'mito': 1, 'dark': 1}, 'FB-column3': {'pre': 23, 'post': 171, 'downstream': 159, 'upstream': 171, 'mito': 11, 'dark': 11}, 'FBl4': {'pre': 21, 'post': 129, 'downstream': 145, 'upstream': 129, 'mito': 11, 'dark': 11}, 'FBl3': {'post': 23, 'upstream': 23, 'mito': 1, 'dark': 1}, 'FBl1': {'post': 26, 'upstream': 26, 'mito': 1, 'dark': 1}}",FB1vD0FB4,"['CX', 'FB', 'FB-column3', 'FBl1', 'FBl3', 'FBl4', 'FBl5']","['CX', 'FB', 'FB-column3', 'FBl4', 'FBl5']"
1350400920,,,0,10,0,10,0,308683,Orphan,,Orphan hotknife,,,,"{'CX': {'post': 10}, 'FB': {'post': 10}, 'FBl4': {'post': 10}, 'FB-column3': {'post': 10}}",,"['CX', 'FB', 'FB-column3', 'FBl4']",[]
1350401643,,,0,15,0,15,0,184659,Orphan,,Orphan,,,,"{'CX': {'post': 15}, 'FB': {'post': 15}, 'FBl4': {'post': 15}, 'FB-column3': {'post': 15}}",,"['CX', 'FB', 'FB-column3', 'FBl4']",[]
1350401744,,,0,11,0,11,0,94330,Orphan,,Orphan,,,,"{'CX': {'post': 11}, 'FB': {'post': 11}, 'FBl4': {'post': 11}, 'FB-column3': {'post': 11}}",,"['CX', 'FB', 'FB-column3', 'FBl4']",[]
1350405645,,,0,26,0,26,0,477097,Orphan,,Orphan,,,,"{'CX': {'post': 26}, 'FB': {'post': 26}, 'FBl4': {'post': 26}, 'FB-column3': {'post': 26}}",,"['CX', 'FB', 'FB-column3', 'FBl4']",[]
1350418509,,,0,16,0,16,0,254982,Orphan,,Orphan,,,,"{'CX': {'post': 16}, 'FB': {'post': 16}, 'FBl4': {'post': 12}, 'FB-column3': {'post': 16}, 'FBl3': {'post': 4}}",,"['CX', 'FB', 'FB-column3', 'FBl3', 'FBl4']",[]
1350445034,,,0,10,0,10,0,355736,Orphan,,Orphan,,,,"{'CX': {'post': 10}, 'FB': {'post': 10}, 'FBl3': {'post': 8}, 'FBl2': {'post': 2}}",,"['CX', 'FB', 'FBl2', 'FBl3']",[]
1350453308,,,4,15,28,15,3,5660180,Orphan,,Orphan hotknife,,,,"{'CX': {'pre': 4, 'post': 15, 'downstream': 28, 'upstream': 15, 'mito': 3, 'dark': 3}, 'FB': {'pre': 4, 'post': 15, 'downstream': 28, 'upstream': 15, 'mito': 3, 'dark': 3}, 'FBl4': {'pre': 1, 'downstream': 8}, 'FBl3': {'pre': 3, 'post': 15, 'downstream': 20, 'upstream': 15, 'mito': 3, 'dark': 3}}",,"['CX', 'FB', 'FBl3']","['CX', 'FB', 'FBl3', 'FBl4']"
1350478695,,,0,10,0,10,0,242724,Orphan,,Orphan hotknife,,,,"{'CX': {'post': 10}, 'FB': {'post': 10}, 'FBl4': {'post': 10}}",,"['CX', 'FB', 'FBl4']",[]
1350483746,,,0,14,0,14,0,480824,Orphan,,Orphan,,,,"{'CX': {'post': 14}, 'FB': {'post': 14}, 'FBl4': {'post': 14}}",,"['CX', 'FB', 'FBl4']",[]
1350488208,,,0,14,0,14,0,341519,Orphan,,Orphan,,,,"{'CX': {'post': 14}, 'FB': {'post': 14}, 'FBl4': {'post': 14}}",,"['CX', 'FB', 'FBl4']",[]
1350729263,,,0,23,0,23,0,440802,Orphan,,Orphan,,,,"{'CX': {'post': 23}, 'FB': {'post': 23}, 'FBl5': {'post': 23}, 'FB-column3': {'post': 1}}",,"['CX', 'FB', 'FB-column3', 'FBl5']",[]
1350733948,,,0,10,0,10,0,280704,Orphan,,Orphan,,,,"{'CX': {'post': 10}, 'FB': {'post': 10}, 'FBl5': {'post': 5}, 'FB-column3': {'post': 10}, 'FBl4': {'post': 5}}",,"['CX', 'FB', 'FB-column3', 'FBl4', 'FBl5']",[]
1350738317,,,0,10,0,10,1,568549,Orphan,,Orphan hotknife,,,,"{'CX': {'post': 10}, 'FB': {'post': 10}, 'FBl4': {'post': 10}, 'FB-column3': {'post': 10}}",,"['CX', 'FB', 'FB-column3', 'FBl4']",[]
1350746353,,,0,10,0,10,0,58061,Orphan,,Orphan,,,,"{'CX': {'post': 10}, 'FB': {'post': 10}, 'FBl4': {'post': 10}, 'FB-column3': {'post': 10}}",,"['CX', 'FB', 'FB-column3', 'FBl4']",[]
1350746423,,,1,10,5,10,0,66102,Orphan,,Orphan,,,,"{'CX': {'pre': 1, 'post': 10, 'downstream': 5, 'upstream': 10}, 'FB': {'pre': 1, 'post': 10, 'downstream': 5, 'upstream': 10}, 'FBl5': {'pre': 1, 'post': 1, 'downstream': 5, 'upstream': 1}, 'FB-column3': {'pre': 1, 'post': 10, 'downstream': 5, 'upstream': 10}, 'FBl4': {'post': 9, 'upstream': 9}}",,"['CX', 'FB', 'FB-column3', 'FBl4', 'FBl5']","['CX', 'FB', 'FB-column3', 'FBl5']"
1350750834,,,2,7,6,7,0,730940,Orphan,,Orphan,,,,"{'CX': {'pre': 2, 'post': 7, 'downstream': 6, 'upstream': 7}, 'FB': {'pre': 2, 'post': 7, 'downstream': 6, 'upstream': 7}, 'FBl4': {'pre': 2, 'post': 7, 'downstream': 6, 'upstream': 7}, 'FB-column3': {'pre': 2, 'post': 7, 'downstream': 6, 'upstream': 7}}",,"['CX', 'FB', 'FB-column3', 'FBl4']","['CX', 'FB', 'FB-column3', 'FBl4']"
1350755066,,,0,15,0,15,0,447982,Orphan,,Orphan,,,,"{'CX': {'post': 15}, 'FB': {'post': 15}, 'FBl4': {'post': 14}, 'FB-column3': {'post': 15}, 'FBl3': {'post': 1}}",,"['CX', 'FB', 'FB-column3', 'FBl3', 'FBl4']",[]
1350759829,,,27,26,91,26,9,14162674,Orphan,,Orphan hotknife,,,,"{'CX': {'pre': 27, 'post': 26, 'downstream': 91, 'upstream': 26, 'mito': 9, 'dark': 9}, 'FB': {'pre': 27, 'post': 26, 'downstream': 91, 'upstream': 26, 'mito': 9, 'dark': 9}, 'FBl4': {'pre': 5, 'post': 7, 'downstream': 15, 'upstream': 7, 'mito': 2, 'dark': 2}, 'FB-column3': {'pre': 27, 'post': 26, 'downstream': 91, 'upstream': 26, 'mito': 8, 'dark': 8}, 'FBl3': {'pre': 22, 'post': 19, 'downstream': 76, 'upstream': 19, 'mito': 7, 'dark': 7}}",,"['CX', 'FB', 'FB-column3', 'FBl3', 'FBl4']","['CX', 'FB', 'FB-column3', 'FBl3', 'FBl4']"
1350768132,,,2,1,5,1,0,287077,Orphan,,Orphan hotknife,,,,"{'CX': {'pre': 2, 'post': 1, 'downstream': 5, 'upstream': 1}, 'FB': {'pre': 2, 'post': 1, 'downstream': 5, 'upstream': 1}, 'FBl3': {'pre': 2, 'post': 1, 'downstream': 5, 'upstream': 1}, 'FB-column3': {'pre': 1, 'downstream': 2}}",,"['CX', 'FB', 'FBl3']","['CX', 'FB', 'FB-column3', 'FBl3']"
1350785681,,,2,1,13,1,0,58892,Assign,,0.5assign,,,,"{'CX': {'pre': 2, 'post': 1, 'downstream': 13, 'upstream': 1}, 'FB': {'pre': 2, 'post': 1, 'downstream': 13, 'upstream': 1}, 'FBl3': {'pre': 2, 'post': 1, 'downstream': 13, 'upstream': 1}}",,"['CX', 'FB', 'FBl3']","['CX', 'FB', 'FBl3']"
1350802683,,,0,17,0,17,0,245997,Orphan,,Orphan,,,,"{'CX': {'post': 17}, 'FB': {'post': 17}, 'FBl4': {'post': 17}}",,"['CX', 'FB', 'FBl4']",[]
1350802774,,,0,11,0,11,0,124383,Assign,,0.5assign,,,,"{'CX': {'post': 11}, 'FB': {'post': 11}, 'FBl4': {'post': 11}}",,"['CX', 'FB', 'FBl4']",[]
1350803100,PFNp_a(PB01a)_R5_C6,PFNp_a,87,260,463,260,40,175051158,Traced,False,Roughly traced,PDM02,236.0,"[23221, 13768, 9072]","{'CX': {'pre': 87, 'post': 259, 'downstream': 463, 'upstream': 259, 'mito': 33, 'dark': 33}, 'PB': {'post': 82, 'upstream': 82, 'mito': 5, 'dark': 5}, 'PB(R5)': {'post': 76, 'upstream': 76, 'mito': 3, 'dark': 3}, 'PB(R4)': {'post': 6, 'upstream': 6, 'mito': 2, 'dark': 2}, 'FB': {'pre': 63, 'post': 53, 'downstream': 345, 'upstream': 53, 'mito': 14, 'dark': 14}, 'FBl4': {'pre': 2, 'post': 4, 'downstream': 13, 'upstream': 4, 'mito': 1, 'dark': 1}, 'FBl3': {'pre': 22, 'post': 27, 'downstream': 122, 'upstream': 27, 'mito': 3, 'dark': 3}, 'FBl2': {'post': 3, 'upstream': 3, 'mito': 1, 'dark': 1}, 'FBl1': {'pre': 39, 'post': 19, 'downstream': 210, 'upstream': 19, 'mito': 9, 'dark': 9}, 'NO': {'pre': 24, 'post': 124, 'downstream': 118, 'upstream': 124, 'mito': 14, 'dark': 14}, 'NO(L)': {'pre': 24, 'post': 124, 'downstream': 118, 'upstream': 124, 'mito': 14, 'dark': 14}, 'NO3(L)': {'pre': 24, 'post': 124, 'downstream': 118, 'upstream': 124, 'mito': 14, 'dark': 14}}",PFNp_a,"['CX', 'FB', 'FBl1', 'FBl2', 'FBl3', 'FBl4', 'NO', 'NO(L)', 'NO3(L)', 'PB', 'PB(R4)', 'PB(R5)']","['CX', 'FB', 'FBl1', 'FBl3', 'FBl4', 'NO', 'NO(L)', 'NO3(L)']"
