mode,region,arm,seed,gain,sigma,change_snr,readout_base,recall_at_fpr10,auroc,auprc,wall_s
nuisance,AL,random,2,1.0,0.25,0.06296,15.7769,0.5,0.8016580790064738,0.9694180382812218,65.8
nuisance,AL,connectome,2,1.0,1.0,0.15951,4.3655,0.4849137931034483,0.8050188267934998,0.9706864995153714,153.4
nuisance,AL,degree,2,1.0,1.5,0.11711,7.9083,0.4777298850574712,0.772195798652398,0.965088839974769,110.6
nuisance,AL,random,2,1.0,2.0,0.06296,15.7769,0.4288793103448275,0.7705071673933148,0.9643367811825908,154.2
nuisance,AL,degree,1,1.0,0.0,0.11744,7.767,0.6221264367816092,0.8792442859030255,0.982938106787773,89.5
nuisance,AL,random,1,1.0,0.25,0.06352,15.4404,0.5660919540229885,0.8437293565860747,0.9769925597506276,88.5
nuisance,AL,connectome,1,1.0,1.0,0.15951,4.3655,0.4856321839080459,0.7939498282467962,0.9689959423125436,89.4
nuisance,AL,degree,1,1.0,1.5,0.11744,7.767,0.4798850574712643,0.7740454485400977,0.9652805357997718,104.1
nuisance,AL,random,1,1.0,2.0,0.06352,15.4404,0.4676724137931034,0.8050126337693222,0.9703255381417398,82.7
nuisance,AL,connectome,1,1.0,0.0,0.15951,4.3655,0.6724137931034483,0.8957259875809221,0.9855405983505936,88.7
nuisance,AL,degree,1,1.0,0.25,0.11744,7.767,0.5790229885057471,0.8574118113357114,0.9792576898867728,87.0
nuisance,AL,random,1,1.0,0.5,0.06352,15.4404,0.487787356321839,0.7942429647245343,0.9685855209020354,88.7
nuisance,AL,connectome,1,1.0,1.5,0.15951,4.3655,0.4669540229885057,0.775560675122209,0.965808957377523,88.5
nuisance,AL,degree,1,1.0,2.0,0.11744,7.767,0.4504310344827586,0.7608955938697318,0.9630645886514828,88.9
nuisance,AL,degree,3,1.0,0.0,0.11736,7.942,0.6343390804597702,0.8777497027348394,0.9828905562387596,89.7
nuisance,AL,random,3,1.0,0.25,0.0625,15.788,0.5941091954022989,0.857923768001057,0.9793039853433132,82.2
nuisance,AL,connectome,3,1.0,1.0,0.15951,4.3655,0.603448275862069,0.8366569229752939,0.9764371461290934,127.0
nuisance,AL,degree,3,1.0,1.5,0.11736,7.942,0.4899425287356322,0.7854034548817546,0.9672013156994208,170.5
nuisance,AL,random,3,1.0,2.0,0.0625,15.788,0.4691091954022988,0.7836074778702603,0.9657305766816634,105.4
nuisance,AL,connectome,3,1.0,0.25,0.15951,4.3655,0.646551724137931,0.8956847007530717,0.9847834094279722,104.0
nuisance,AL,degree,3,1.0,0.5,0.11736,7.942,0.4856321839080459,0.8049073523583036,0.9698916444583788,103.7
nuisance,AL,random,3,1.0,1.0,0.0625,15.788,0.5280172413793104,0.808577751354208,0.971206986830294,127.0
nuisance,AL,connectome,3,1.0,2.0,0.15951,4.3655,0.507183908045977,0.8038958250759678,0.9705933739860833,103.9
nuisance,AL,connectome,2,1.0,0.25,0.15951,4.3655,0.5833333333333334,0.8505912273748183,0.9783455575738328,112.6
nuisance,AL,degree,2,1.0,0.5,0.11711,7.9083,0.4856321839080459,0.7881903157616594,0.9679069106191318,111.7
nuisance,AL,random,2,1.0,1.0,0.06296,15.7769,0.4885057471264368,0.8013112696525301,0.9703620514317434,127.7
nuisance,AL,connectome,2,1.0,2.0,0.15951,4.3655,0.4461206896551724,0.776303838023517,0.9655144890388012,185.4
nuisance,AL,connectome,5,1.0,0.25,0.15951,4.3655,0.5459770114942529,0.8327842185229224,0.9755090846444748,78.5
nuisance,AL,degree,5,1.0,0.5,0.11997,7.6216,0.4454022988505747,0.7836074778702603,0.9664977219893346,120.3
nuisance,AL,random,5,1.0,1.0,0.06387,15.4676,0.4920977011494253,0.7973725062755979,0.9693033467569492,83.8
nuisance,AL,connectome,5,1.0,2.0,0.15951,4.3655,0.5265804597701149,0.8117465153917294,0.972244060406546,113.3
nuisance,AL,connectome,4,1.0,0.25,0.15951,4.3655,0.6070402298850575,0.8747894371779628,0.9821732874146116,96.0
nuisance,AL,degree,4,1.0,0.5,0.11724,7.8756,0.5330459770114943,0.8344934931959308,0.9756831961643002,80.1
