mode,region,arm,seed,gain,sigma,change_snr,readout_base,recall_at_fpr10,auroc,auprc,wall_s
gain,AL,random,4,1.0,0.0,0.06302,15.6522,0.6422413793103449,0.8702272427004888,0.9818172391418444,103.2
gain,AL,connectome,4,4.0,0.0,0.15951,4.3655,0.742816091954023,0.9244574910820452,0.9898586492346152,74.5
gain,AL,degree,4,8.0,0.0,0.11724,7.8756,0.6903735632183908,0.9083102127097372,0.9874028576798786,117.4
gain,AL,random,4,16.0,0.0,0.06302,15.6522,0.6745689655172413,0.8997762253930506,0.9862265863465788,117.3
gain,AL,degree,0,0.25,0.0,0.11893,7.7893,0.5136494252873564,0.849435196195006,0.9768262774292572,95.5
gain,AL,random,0,0.5,0.0,0.06269,15.6447,0.6695402298850575,0.8952346743295019,0.9854653131249332,123.5
gain,AL,connectome,0,2.0,0.0,0.15951,4.3655,0.7047413793103449,0.9112126767076232,0.9878888466182484,180.0
gain,AL,degree,0,4.0,0.0,0.11893,7.7893,0.673132183908046,0.9036860879904876,0.9867189990763896,94.9
gain,AL,random,0,8.0,0.0,0.06269,15.6447,0.6903735632183908,0.91090715418153,0.9878277131770772,137.3
gain,AL,connectome,0,32.0,0.0,0.15951,4.3655,0.6961206896551724,0.904288875677104,0.9868868256035728,162.9
gain,AL,degree,4,0.25,0.0,0.11724,7.8756,0.6336206896551724,0.8647567380103052,0.9805438719735956,98.0
gain,AL,random,4,0.5,0.0,0.06302,15.6522,0.6702586206896551,0.8972783723080988,0.985673670734159,82.4
gain,AL,connectome,4,2.0,0.0,0.15951,4.3655,0.7377873563218391,0.92164585810543,0.9894302967604576,90.5
gain,AL,degree,4,4.0,0.0,0.11724,7.8756,0.6795977011494253,0.8986614810410887,0.986141991001468,105.5
gain,AL,random,4,8.0,0.0,0.06302,15.6522,0.6745689655172413,0.8983105430043599,0.9860014944544796,98.2
gain,AL,connectome,4,32.0,0.0,0.15951,4.3655,0.7334770114942529,0.9270255317743428,0.9901052866846024,183.4
gain,AL,degree,2,0.25,0.0,0.11711,7.9083,0.4820402298850574,0.8358559585149954,0.9745445705476784,75.1
gain,AL,random,2,0.5,0.0,0.06296,15.7769,0.5955459770114943,0.8434898929845422,0.9773339558142992,93.9
gain,AL,connectome,2,2.0,0.0,0.15951,4.3655,0.6537356321839081,0.8958663627956137,0.9852481391353172,116.4
gain,AL,degree,2,4.0,0.0,0.11711,7.9083,0.6997126436781609,0.9088469414717928,0.9875397375986336,117.0
gain,AL,random,2,8.0,0.0,0.06296,15.7769,0.6566091954022989,0.8892150548289074,0.984357759612924,102.8
gain,AL,connectome,2,32.0,0.0,0.15951,4.3655,0.7119252873563219,0.9036035143347866,0.9865633160309696,115.4
gain,AL,connectome,1,0.25,0.0,0.15951,4.3655,0.5718390804597702,0.8288475194873828,0.9712788052415948,82.5
gain,AL,degree,1,0.5,0.0,0.11744,7.767,0.6127873563218391,0.8627295547628485,0.980344647050106,80.5
gain,AL,random,1,1.0,0.0,0.06352,15.4404,0.6695402298850575,0.9019891993658344,0.9862580316061392,89.2
gain,AL,connectome,1,4.0,0.0,0.15951,4.3655,0.7011494252873564,0.9011510767604703,0.9865628612637048,89.4
gain,AL,degree,1,8.0,0.0,0.11744,7.767,0.7083333333333334,0.902154346677236,0.9868544918591352,81.6
gain,AL,random,1,16.0,0.0,0.06352,15.4404,0.7068965517241379,0.9059609922050468,0.9872202096302723,88.8
gain,AL,degree,3,0.25,0.0,0.11736,7.942,0.5272988505747126,0.8399020676443387,0.975281376423903,54.8
gain,AL,random,3,0.5,0.0,0.0625,15.788,0.5969827586206896,0.8520899392257894,0.9785986946276626,110.5
gain,AL,connectome,3,2.0,0.0,0.15951,4.3655,0.6451149425287356,0.9043342911877394,0.9863654523645368,83.5
gain,AL,degree,3,4.0,0.0,0.11736,7.942,0.6839080459770115,0.9114232395296604,0.9876979463962904,83.4
gain,AL,random,3,8.0,0.0,0.0625,15.788,0.6336206896551724,0.87685790725327,0.982544484042636,83.3
gain,AL,connectome,3,32.0,0.0,0.15951,4.3655,0.7025862068965517,0.8977903289734444,0.9861239560996676,154.0
gain,AL,random,5,0.25,0.0,0.06387,15.4676,0.5301724137931034,0.8386428193949003,0.9756993036016088,70.4
gain,AL,connectome,5,1.0,0.0,0.15951,4.3655,0.7054597701149425,0.9038842647641696,0.986507013869928,68.8
gain,AL,degree,5,2.0,0.0,0.11997,7.6216,0.6580459770114943,0.8936286167261197,0.9852147348192208,70.0
gain,AL,random,5,4.0,0.0,0.06387,15.4676,0.6206896551724138,0.8843638525564804,0.9835765127358472,78.7
gain,AL,connectome,5,16.0,0.0,0.15951,4.3655,0.7665229885057471,0.9223312194477474,0.9895928103296384,76.3
gain,AL,degree,5,32.0,0.0,0.11997,7.6216,0.7262931034482759,0.9105190579997358,0.9875758855645668,127.4
gain,AL,connectome,3,0.25,0.0,0.15951,4.3655,0.6343390804597702,0.8834720570749108,0.9831597615674116,102.0
gain,AL,degree,3,0.5,0.0,0.11736,7.942,0.6436781609195402,0.8967994451050337,0.9851211956673116,101.1
gain,AL,random,3,1.0,0.0,0.0625,15.788,0.7227011494252874,0.9254855330955212,0.9897352007168696,124.3
gain,AL,connectome,3,4.0,0.0,0.15951,4.3655,0.7112068965517241,0.916687310080592,0.9886707484381452,124.7
gain,AL,degree,3,8.0,0.0,0.11736,7.942,0.6716954022988506,0.9037810476945436,0.9867378682312984,166.6
gain,AL,random,3,16.0,0.0,0.0625,15.788,0.6422413793103449,0.900098262650284,0.9860642710830524,80.8
gain,AL,connectome,2,0.25,0.0,0.15951,4.3655,0.6091954022988506,0.8709704056017968,0.9814426850150384,117.8
gain,AL,degree,2,0.5,0.0,0.11711,7.9083,0.6494252873563219,0.8800741511428194,0.9830382156811872,59.5
gain,AL,random,2,1.0,0.0,0.06296,15.7769,0.6673850574712644,0.8961801426872771,0.9855941618493466,119.0
