run-start task=odor_valence_associative_reversal output_dir=/home/ec2-user/pathintegrationBPU/outputs/mb_assoc_dense_only_lr1e4_3seed_100ep matrix=/home/ec2-user/pathintegrationBPU/outputs/hemibrain_mushroom_body_plume/adjacency_unsigned.npz device=cuda
data-ready N=11690 edges=1277773 input_dim=67 timesteps=21 models=hemibrain_dense,random_dense
model-start model=hemibrain_dense seed=0 runtime=dense N=11690 recurrent_params=136656100 trainable_params=137462711 init_nonzero_edges=1277773 timesteps=21
loss model=hemibrain_dense seed=0 epoch=56/100 train_loss=0.113257 val_loss=0.108832 val_acc=0.9604 val_reversal_acc=0.9451 best_val_loss=0.108832 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=57/100 train_loss=0.112547 val_loss=0.114681 val_acc=0.9586 val_reversal_acc=0.9408 best_val_loss=0.108832 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=58/100 train_loss=0.110897 val_loss=0.106491 val_acc=0.9621 val_reversal_acc=0.9457 best_val_loss=0.106491 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=59/100 train_loss=0.110305 val_loss=0.105596 val_acc=0.9605 val_reversal_acc=0.9466 best_val_loss=0.105596 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=60/100 train_loss=0.10637 val_loss=0.0983075 val_acc=0.9649 val_reversal_acc=0.9512 best_val_loss=0.0983075 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=61/100 train_loss=0.106025 val_loss=0.0981189 val_acc=0.9656 val_reversal_acc=0.9501 best_val_loss=0.0981189 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=62/100 train_loss=0.103159 val_loss=0.105177 val_acc=0.9617 val_reversal_acc=0.9444 best_val_loss=0.0981189 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=63/100 train_loss=0.100525 val_loss=0.0998017 val_acc=0.9636 val_reversal_acc=0.9477 best_val_loss=0.0981189 patience_wait=2
loss model=hemibrain_dense seed=0 epoch=64/100 train_loss=0.09891 val_loss=0.0980622 val_acc=0.9630 val_reversal_acc=0.9467 best_val_loss=0.0980622 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=65/100 train_loss=0.0989507 val_loss=0.100428 val_acc=0.9624 val_reversal_acc=0.9431 best_val_loss=0.0980622 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=66/100 train_loss=0.0970826 val_loss=0.0952291 val_acc=0.9673 val_reversal_acc=0.9517 best_val_loss=0.0952291 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=67/100 train_loss=0.0976327 val_loss=0.0945649 val_acc=0.9650 val_reversal_acc=0.9483 best_val_loss=0.0945649 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=68/100 train_loss=0.0944545 val_loss=0.101457 val_acc=0.9625 val_reversal_acc=0.9460 best_val_loss=0.0945649 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=69/100 train_loss=0.0963699 val_loss=0.0921784 val_acc=0.9681 val_reversal_acc=0.9544 best_val_loss=0.0921784 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=70/100 train_loss=0.0931122 val_loss=0.089976 val_acc=0.9668 val_reversal_acc=0.9513 best_val_loss=0.089976 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=71/100 train_loss=0.0924441 val_loss=0.0912894 val_acc=0.9676 val_reversal_acc=0.9522 best_val_loss=0.089976 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=72/100 train_loss=0.0900769 val_loss=0.0866793 val_acc=0.9682 val_reversal_acc=0.9531 best_val_loss=0.0866793 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=73/100 train_loss=0.0891828 val_loss=0.0915475 val_acc=0.9672 val_reversal_acc=0.9508 best_val_loss=0.0866793 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=74/100 train_loss=0.0871175 val_loss=0.0890836 val_acc=0.9673 val_reversal_acc=0.9534 best_val_loss=0.0866793 patience_wait=2
loss model=hemibrain_dense seed=0 epoch=75/100 train_loss=0.0873831 val_loss=0.0884035 val_acc=0.9680 val_reversal_acc=0.9522 best_val_loss=0.0866793 patience_wait=3
loss model=hemibrain_dense seed=0 epoch=76/100 train_loss=0.0852098 val_loss=0.0861548 val_acc=0.9691 val_reversal_acc=0.9539 best_val_loss=0.0861548 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=77/100 train_loss=0.0832462 val_loss=0.0816772 val_acc=0.9704 val_reversal_acc=0.9555 best_val_loss=0.0816772 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=78/100 train_loss=0.0843993 val_loss=0.077999 val_acc=0.9719 val_reversal_acc=0.9583 best_val_loss=0.077999 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=79/100 train_loss=0.0837212 val_loss=0.0759249 val_acc=0.9734 val_reversal_acc=0.9618 best_val_loss=0.0759249 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=80/100 train_loss=0.0835935 val_loss=0.0758317 val_acc=0.9742 val_reversal_acc=0.9639 best_val_loss=0.0758317 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=81/100 train_loss=0.0804595 val_loss=0.078389 val_acc=0.9734 val_reversal_acc=0.9604 best_val_loss=0.0758317 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=82/100 train_loss=0.0829027 val_loss=0.077833 val_acc=0.9731 val_reversal_acc=0.9613 best_val_loss=0.0758317 patience_wait=2
loss model=hemibrain_dense seed=0 epoch=83/100 train_loss=0.0819359 val_loss=0.076857 val_acc=0.9730 val_reversal_acc=0.9612 best_val_loss=0.0758317 patience_wait=3
loss model=hemibrain_dense seed=0 epoch=84/100 train_loss=0.0803968 val_loss=0.0803828 val_acc=0.9708 val_reversal_acc=0.9555 best_val_loss=0.0758317 patience_wait=4
loss model=hemibrain_dense seed=0 epoch=85/100 train_loss=0.0792111 val_loss=0.0820394 val_acc=0.9711 val_reversal_acc=0.9569 best_val_loss=0.0758317 patience_wait=5
loss model=hemibrain_dense seed=0 epoch=86/100 train_loss=0.0803614 val_loss=0.0784574 val_acc=0.9715 val_reversal_acc=0.9581 best_val_loss=0.0758317 patience_wait=6
loss model=hemibrain_dense seed=0 epoch=87/100 train_loss=0.0782741 val_loss=0.0837611 val_acc=0.9692 val_reversal_acc=0.9540 best_val_loss=0.0758317 patience_wait=7
loss model=hemibrain_dense seed=0 epoch=88/100 train_loss=0.0780597 val_loss=0.0738607 val_acc=0.9728 val_reversal_acc=0.9583 best_val_loss=0.0738607 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=89/100 train_loss=0.0769406 val_loss=0.0764205 val_acc=0.9720 val_reversal_acc=0.9578 best_val_loss=0.0738607 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=90/100 train_loss=0.0753218 val_loss=0.0700473 val_acc=0.9749 val_reversal_acc=0.9615 best_val_loss=0.0700473 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=91/100 train_loss=0.0731562 val_loss=0.077933 val_acc=0.9732 val_reversal_acc=0.9595 best_val_loss=0.0700473 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=92/100 train_loss=0.0747019 val_loss=0.0706836 val_acc=0.9747 val_reversal_acc=0.9609 best_val_loss=0.0700473 patience_wait=2
loss model=hemibrain_dense seed=0 epoch=93/100 train_loss=0.0724909 val_loss=0.0717357 val_acc=0.9738 val_reversal_acc=0.9598 best_val_loss=0.0700473 patience_wait=3
loss model=hemibrain_dense seed=0 epoch=94/100 train_loss=0.0735904 val_loss=0.0663203 val_acc=0.9757 val_reversal_acc=0.9646 best_val_loss=0.0663203 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=95/100 train_loss=0.0729159 val_loss=0.0634233 val_acc=0.9781 val_reversal_acc=0.9680 best_val_loss=0.0634233 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=96/100 train_loss=0.0729817 val_loss=0.0622524 val_acc=0.9778 val_reversal_acc=0.9695 best_val_loss=0.0622524 patience_wait=0
