model,baseline_model,metric,paired_seed_count,mean_delta,std_delta,se_delta,ci95_low,ci95_high
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,final_common_val,5,0.0003359374999999831,0.004024758328908715,0.0017999266432896688,-0.003191918720847768,0.003863793720847734
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,final_common_val,5,0.003528645833333255,0.004900272602274953,0.0021914685293933167,-0.0007666324842776459,0.007823924150944156
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,final_common_val,5,0.003192708333333272,0.0008802025548380694,0.0003936385493173819,0.002421176776671203,0.00396423988999534
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,final_common_val,5,-0.003192708333333272,0.0008802025548380694,0.0003936385493173819,-0.00396423988999534,-0.002421176776671203
conv_protonet,random_sparse_conv_fast_memory,epoch1,5,0.0006718749999999219,0.0006617991453032143,0.00029596557526984953,9.178247247101684e-05,0.001251967527528827
conv_protonet,weight_shuffle_conv_fast_memory,epoch1,5,-0.00021875000000011192,0.000993661074921635,0.0004443787420240574,-0.0010897323343672645,0.0006522323343670406
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,epoch1,5,0.0013020833333333482,0.0008936599271094366,0.00039965686915684147,0.000518755869785939,0.0020854107968807573
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch1,5,0.00041145833333331436,0.0007380412326633271,0.0003300620732865875,-0.00023546333030839716,0.0010583799969750259
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch1,5,-0.0008906250000000338,0.0007108349475790485,0.0003178950527138504,-0.0015136993033191804,-0.000267550696680887
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,epoch1,5,0.0008906250000000338,0.0007108349475790485,0.0003178950527138504,0.000267550696680887,0.0015136993033191804
conv_protonet,random_sparse_conv_fast_memory,epoch3,5,-0.0011796874999999486,0.001691345605308828,0.0007563927493832136,-0.002662217288791047,0.00030284228879115006
conv_protonet,weight_shuffle_conv_fast_memory,epoch3,5,-0.0006770833333333392,0.0018166279173285292,0.0008124207025940919,-0.0022694279104177595,0.0009152612437510808
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,epoch3,5,2.3437500000023094e-05,0.00134431512664343,0.0006011960012711896,-0.0011549066624915085,0.0012017816624915545
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch3,5,0.0005260416666666324,0.0008595032259136339,0.00038438152800464884,-0.0002273461282224793,0.001279429461555744
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch3,5,0.0005026041666666093,0.001420721496774574,0.0006353659687766391,-0.0007427131321356034,0.0017479214654688218
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,epoch3,5,-0.0005026041666666093,0.001420721496774574,0.0006353659687766391,-0.0017479214654688218,0.0007427131321356034
conv_protonet,random_sparse_conv_fast_memory,epoch5,5,-0.0032317708333333473,0.0016657356204797737,0.0007449396159871129,-0.0046918524806680885,-0.0017716891859986062
conv_protonet,weight_shuffle_conv_fast_memory,epoch5,5,-0.0012760416666666608,0.0009753030072475669,0.0004361687645731059,-0.0021309324452299483,-0.0004211508881033732
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,epoch5,5,-0.00027343749999997335,0.0017021471613134784,0.0007612233520810476,-0.0017654352700788266,0.0012185602700788799
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch5,5,0.0016822916666667132,0.0015995339880569266,0.0007153333459233249,0.0002802383086569964,0.00308434502467643
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch5,5,0.0019557291666666863,0.0008391823542321674,0.00037529375791628693,0.001220153401150764,0.0026913049321826087
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,epoch5,5,-0.0019557291666666863,0.0008391823542321674,0.00037529375791628693,-0.0026913049321826087,-0.001220153401150764
