Unnamed: 0,update,total_updates,T,FPS,window,mean,median,min,max,model
80,84,781,10880,76,39,-79.27361194871794,-78.938898,-162.784359,-33.501237,rnn_param_matched
81,85,781,11008,76,40,-80.205344925,-79.02061549999999,-162.784359,-33.501237,rnn_param_matched
82,86,781,11136,77,40,-80.205344925,-79.02061549999999,-162.784359,-33.501237,rnn_param_matched
83,87,781,11264,77,41,-80.79527263414636,-79.102333,-162.784359,-33.501237,rnn_param_matched
84,88,781,11392,77,41,-80.79527263414636,-79.102333,-162.784359,-33.501237,rnn_param_matched
85,89,781,11520,77,41,-80.79527263414636,-79.102333,-162.784359,-33.501237,rnn_param_matched
86,90,781,11648,78,42,-80.33057835714287,-79.02061549999999,-162.784359,-33.501237,rnn_param_matched
87,91,781,11776,78,43,-79.84778855813954,-78.938898,-162.784359,-33.501237,rnn_param_matched
88,92,781,11904,78,44,-79.31813729545455,-75.381345,-162.784359,-33.501237,rnn_param_matched
89,93,781,12032,78,45,-79.04418091111111,-71.823792,-162.784359,-33.501237,rnn_param_matched
90,94,781,12160,79,45,-79.04418091111111,-71.823792,-162.784359,-33.501237,rnn_param_matched
91,95,781,12288,79,45,-79.04418091111111,-71.823792,-162.784359,-33.501237,rnn_param_matched
92,96,781,12416,79,46,-79.1230534130435,-75.381345,-162.784359,-33.501237,rnn_param_matched
93,97,781,12544,80,46,-79.1230534130435,-75.381345,-162.784359,-33.501237,rnn_param_matched
94,98,781,12672,80,47,-79.25129972340427,-78.938898,-162.784359,-33.501237,rnn_param_matched
95,99,781,12800,80,48,-78.76870352083334,-75.381345,-162.784359,-33.501237,rnn_param_matched
96,100,781,12928,80,50,-77.3784328,-71.772593,-162.784359,-33.501237,rnn_param_matched
97,101,781,13056,77,50,-76.36374554,-71.0985015,-162.784359,-33.501237,rnn_param_matched
98,102,781,13184,77,50,-75.18539233999999,-70.4487565,-162.784359,-33.501237,rnn_param_matched
99,103,781,13312,77,50,-73.22571832000001,-69.39981499999999,-162.784359,-28.044956,rnn_param_matched
