model,baseline_model,comparison_type,metric,paired_seed_count,mean_delta,std_delta,se_delta,ci95_low,ci95_high
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,reference_baseline,test_initial_query_accuracy,5,0.00323984375000006,0.0007784163018713684,0.0003481183531556753,0.0025575317778149366,0.003922155722185183
random_sparse_conv_fast_memory,nearest_support,reference_baseline,test_initial_query_accuracy,5,0.5288760416666667,0.0021368128534020882,0.0009556117590804724,0.527003042618869,0.5307490407144644
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,reference_baseline,test_initial_query_accuracy,5,-0.00323984375000006,0.0007784163018713684,0.0003481183531556753,-0.003922155722185183,-0.0025575317778149366
weight_shuffle_conv_fast_memory,nearest_support,reference_baseline,test_initial_query_accuracy,5,0.5256361979166667,0.0017799299617328075,0.0007960088779246314,0.5240760205159344,0.527196375317399
conv_protonet,random_sparse_conv_fast_memory,reference_baseline,test_loss,5,-0.12754184677265587,0.008603230884011647,0.00384748181655513,-0.13508291113310392,-0.12000078241220781
conv_protonet,weight_shuffle_conv_fast_memory,reference_baseline,test_loss,5,-0.11790508063044398,0.009219439898289267,0.00412305886540971,-0.12598627600664702,-0.10982388525424096
conv_protonet,nearest_support,reference_baseline,test_loss,5,86.0206516815722,0.32547669316935895,0.14555760220370562,85.73535878125294,86.30594458189147
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,matched_topology_control,test_loss,5,-0.007733776234090326,0.004261773808255821,0.0019059231879976339,-0.011469385682565688,-0.003998166785614963
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,matched_topology_control,test_loss,5,0.0019029899081215412,0.005541263226785046,0.002478128251262239,-0.0029541414643524467,0.0067601212805955295
hemibrain_conv_fast_memory,nearest_support,reference_baseline,test_loss,5,86.14045975211077,0.33170656003496085,0.14834368336415749,85.84970613271702,86.43121337150453
nearest_support,random_sparse_conv_fast_memory,reference_baseline,test_loss,5,-86.14819352834486,0.3293812802898454,0.1473037866488012,-86.43690895017652,-85.85947810651321
nearest_support,weight_shuffle_conv_fast_memory,reference_baseline,test_loss,5,-86.13855676220264,0.32663130721597167,0.14607396130290604,-86.42486172635634,-85.85225179804894
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,reference_baseline,test_loss,5,0.009636766142211867,0.0038764092584946367,0.0017335829221207123,0.006238943614855271,0.013034588669568463
random_sparse_conv_fast_memory,nearest_support,reference_baseline,test_loss,5,86.14819352834486,0.3293812802898454,0.1473037866488012,85.85947810651321,86.43690895017652
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,reference_baseline,test_loss,5,-0.009636766142211867,0.0038764092584946367,0.0017335829221207123,-0.013034588669568463,-0.006238943614855271
weight_shuffle_conv_fast_memory,nearest_support,reference_baseline,test_loss,5,86.13855676220264,0.32663130721597167,0.14607396130290604,85.85225179804894,86.42486172635634
