model,baseline_model,metric,paired_seed_count,mean_delta,std_delta,se_delta,ci95_low,ci95_high
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,epoch5,5,-0.0008666666666667267,0.0012187978534052121,0.0005450629702089756,-0.0019349900882763187,0.0002016567549428653
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch5,5,0.002566666666666606,0.0009626924748928276,0.00043052916305757436,0.0017228295070737603,0.003410503826259452
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch5,5,0.0034333333333333325,0.0011445743557013568,0.0005118692129302515,0.0024300696759900395,0.004436596990676625
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,epoch5,5,-0.0034333333333333325,0.0011445743557013568,0.0005118692129302515,-0.004436596990676625,-0.0024300696759900395
conv_protonet,random_sparse_conv_fast_memory,epoch10,5,-0.004905208333333366,0.0010809732405113418,0.0004834259295283179,-0.00585272315520887,-0.003957693511457863
conv_protonet,weight_shuffle_conv_fast_memory,epoch10,5,-0.0009802083333333655,0.001313292378208245,0.0005873222064011999,-0.002131359857879717,0.0001709431912129862
hemibrain_conv_fast_memory,random_sparse_conv_fast_memory,epoch10,5,0.0017656249999999484,0.0020832259086886414,0.0009316469488633144,-6.0403019772147784e-05,0.0035916530197720445
hemibrain_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch10,5,0.005690624999999949,0.003328140486401168,0.001488389673252445,0.002773381240425157,0.008607868759574741
random_sparse_conv_fast_memory,weight_shuffle_conv_fast_memory,epoch10,5,0.0039250000000000005,0.0018437595632992043,0.0008245543435404694,0.0023088734866606804,0.005541126513339321
weight_shuffle_conv_fast_memory,random_sparse_conv_fast_memory,epoch10,5,-0.0039250000000000005,0.0018437595632992043,0.0008245543435404694,-0.005541126513339321,-0.0023088734866606804
