root_id,super_class,cell_class,cell_sub_class,cell_type,side
720575940604009062,optic,ME>LO,,Tm1,right
720575940604010412,visual_projection,,,MTe50,left
720575940604012134,optic,ME>LO.LOP,,TmY11,right
720575940604013926,optic,ME>LO,,T2a,right
720575940604014112,optic,ME,,Dm11,right
720575940604016608,visual_projection,,,LPLC1,right
720575940604023980,visual_projection,,,aMe5,right
720575940604024934,optic,ME>LO.LOP,,TmY31,right
720575940604030176,visual_projection,,,LTe48,right
720575940604030636,visual_projection,,,LLPC3,right
720575940604038880,optic,ME>LO,,Tm2,right
720575940604045484,visual_projection,,,LLPC2,left
720575940604058540,visual_projection,,,LC21,left
720575940604070078,optic,LO,,Li17,left
720575940604076990,optic,ME>LO,,Tm3,right
720575940604080318,optic,ME>LO,,Tm9,right
720575940604081836,visual_centrifugal,,,cLP02,left
720575940604084704,optic,LO>LOP,,T5b,right
720575940604086496,optic,LA>ME,L1-5,L5,right
720575940604087230,optic,ME>LO,,Tm5e,right
720575940604094240,optic,ME>LO,,Tm1,right
720575940604096614,optic,LO,,Li05,left
720575940604101310,optic,ME>LO.LOP,,TmY5a,left
720575940604105137,optic,LO>LOP,,T5b,right
720575940604113442,optic,LOP>ME.LO,,Y3,left
720575940604119842,optic,ME>LA,,T1,left
720575940604121004,visual_projection,,,LLPC1,right
720575940604121278,optic,ME,,Dm15,right
720575940604125286,visual_projection,,,LC13,right
720575940604125920,visual_projection,,,LC10e,right
720575940604142453,optic,ME>LOP,,T4c,right
720575940604151008,optic,ME,columnar,Mi1,right
720575940604151520,optic,ME>LO,,Tm1,right
720575940604174882,optic,ME>LO,,Tm2,left
720575940604175394,optic,ME,,Mi15,left
720575940604179372,optic,LO>LOP,,T5b,left
720575940604180140,optic,ME>LOP,,T4b,right
720575940604183654,optic,ME>LO,,Tm2,right
720575940604187616,optic,ME,,Dm10,right
720575940604188384,optic,ME>LO,,Tm5c,right
720575940604191456,optic,ME,columnar,Mi1,right
720575940604192992,optic,LO>LOP,,T5d,left
720575940604198828,optic,ME>LOP,,T4a,left
720575940604199596,optic,ME>LO.LOP,,Tm27,left
720575940604200364,optic,ME>LO,,T3,left
720575940604209580,optic,ME,columnar,Mi4,right
720575940604212396,visual_projection,,,LLPC1,right
720575940604212838,visual_projection,,,LC13,right
720575940604213937,optic,LA>ME,L1-5,L4,right
720575940604218028,optic,ME>LO,,T2a,right
