,update,total_updates,T,FPS,window,mean,median,min,max
127,129,390,16640,0,50,-80.74901444,-77.561451,-161.613433,-38.330286
128,130,390,16768,0,50,-81.0095998,-77.561451,-161.613433,-38.330286
129,131,390,16896,0,50,-81.0095998,-77.561451,-161.613433,-38.330286
130,132,390,17024,0,50,-80.90907434,-76.74226999999999,-161.613433,-38.330286
131,133,390,17152,0,50,-80.47397652000001,-75.3747815,-161.613433,-38.330286
132,134,390,17280,0,50,-80.47397652000001,-75.3747815,-161.613433,-38.330286
133,135,390,17408,0,50,-80.19471336000001,-75.3747815,-161.613433,-38.330286
134,136,390,17536,0,50,-80.19471336000001,-75.3747815,-161.613433,-38.330286
135,137,390,17664,0,50,-79.75239852,-73.5265245,-161.613433,-38.330286
136,138,390,17792,0,50,-79.2151125,-73.5265245,-161.613433,-38.330286
137,139,390,17920,0,50,-79.2151125,-73.5265245,-161.613433,-38.330286
138,140,390,18048,0,50,-79.81072788,-73.5265245,-161.613433,-38.330286
139,141,390,18176,0,50,-79.81072788,-73.5265245,-161.613433,-38.330286
140,142,390,18304,0,50,-79.06776870000002,-73.5265245,-161.613433,-38.330286
141,143,390,18432,0,50,-79.06776870000002,-73.5265245,-161.613433,-38.330286
142,144,390,18560,0,50,-79.06776870000002,-73.5265245,-161.613433,-38.330286
143,145,390,18688,0,50,-79.20514778,-73.5265245,-161.613433,-38.330286
144,146,390,18816,0,50,-78.55325429999999,-72.6488215,-161.613433,-38.330286
145,147,390,18944,0,50,-79.14873222,-72.6488215,-161.613433,-38.330286
146,148,390,19072,0,50,-79.14873222,-72.6488215,-161.613433,-38.330286
147,149,390,19200,0,50,-79.41583196,-72.6488215,-161.613433,-38.330286
148,150,390,19328,0,50,-79.22338322,-72.6488215,-161.613433,-38.330286
149,151,390,19456,0,50,-79.2728593,-72.6488215,-161.613433,-38.330286
150,152,390,19584,0,50,-79.06736752,-72.6488215,-161.613433,-38.330286
151,153,390,19712,0,50,-77.3559536,-71.37219,-161.613433,-38.330286
152,154,390,19840,0,50,-77.52657972000002,-71.37219,-161.613433,-38.912795
153,155,390,19968,0,50,-77.52657972000002,-71.37219,-161.613433,-38.912795
154,156,390,20096,0,50,-77.52657972000002,-71.37219,-161.613433,-38.912795
155,157,390,20224,0,50,-76.87094844,-71.37219,-142.229533,-38.912795
156,158,390,20352,0,50,-76.87094844,-71.37219,-142.229533,-38.912795
157,159,390,20480,0,50,-76.17399886,-70.16127900000001,-142.229533,-38.912795
158,160,390,20608,0,50,-76.17399886,-70.16127900000001,-142.229533,-38.912795
159,161,390,20736,0,50,-76.17399886,-70.16127900000001,-142.229533,-38.912795
160,162,390,20864,0,50,-77.17549858000001,-71.3489375,-142.229533,-38.912795
161,163,390,20992,0,50,-77.17549858000001,-71.3489375,-142.229533,-38.912795
162,164,390,21120,0,50,-76.66829204000001,-70.16127900000001,-142.229533,-38.912795
163,165,390,21248,0,50,-76.66829204000001,-70.16127900000001,-142.229533,-38.912795
164,166,390,21376,0,50,-76.84656623999999,-70.16127900000001,-142.229533,-38.912795
165,167,390,21504,0,50,-75.77200851999999,-68.9213325,-142.229533,-38.912795
166,168,390,21632,0,50,-75.77200851999999,-68.9213325,-142.229533,-38.912795
167,169,390,21760,0,50,-77.86088927999998,-70.16127900000001,-143.356833,-40.335234
168,170,390,21888,0,50,-77.22165247999999,-68.9213325,-143.356833,-40.335234
169,171,390,22016,0,50,-77.22165247999999,-68.9213325,-143.356833,-40.335234
170,172,390,22144,0,50,-77.22165247999999,-68.9213325,-143.356833,-40.335234
171,173,390,22272,0,50,-77.31429113999998,-68.9213325,-143.356833,-40.335234
172,174,390,22400,0,50,-77.31429113999998,-68.9213325,-143.356833,-40.335234
173,175,390,22528,0,50,-76.50758468,-68.1293915,-143.356833,-40.335234
174,176,390,22656,0,50,-77.31403374,-68.1293915,-143.356833,-40.335234
175,177,390,22784,0,50,-75.4219093,-68.0057395,-143.356833,-40.335234
176,178,390,22912,0,50,-75.4219093,-68.0057395,-143.356833,-40.335234
177,179,390,23040,0,50,-76.09151116,-68.1293915,-143.356833,-40.335234
178,180,390,23168,0,50,-76.09151116,-68.1293915,-143.356833,-40.335234
179,181,390,23296,0,50,-76.64060636,-68.9213325,-143.356833,-40.335234
180,182,390,23424,0,50,-76.64060636,-68.9213325,-143.356833,-40.335234
181,183,390,23552,0,50,-76.42083769999999,-68.9213325,-143.356833,-40.335234
182,184,390,23680,0,50,-76.42083769999999,-68.9213325,-143.356833,-40.335234
183,185,390,23808,0,50,-76.42083769999999,-68.9213325,-143.356833,-40.335234
184,186,390,23936,0,50,-78.07964292,-69.03122400000001,-150.391657,-40.335234
185,187,390,24064,0,50,-78.2938047,-70.16127900000001,-150.391657,-40.335234
186,188,390,24192,0,50,-78.2938047,-70.16127900000001,-150.391657,-40.335234
187,189,390,24320,0,50,-77.98192506,-70.16127900000001,-150.391657,-40.335234
188,190,390,24448,0,50,-78.68617408,-70.16127900000001,-150.391657,-40.335234
189,191,390,24576,0,50,-78.64206107999999,-70.16127900000001,-150.391657,-40.335234
190,192,390,24704,0,50,-78.64206107999999,-70.16127900000001,-150.391657,-40.335234
191,193,390,24832,0,50,-78.709215,-70.864233,-150.391657,-40.335234
192,194,390,24960,0,50,-78.709215,-70.864233,-150.391657,-40.335234
193,195,390,25088,0,50,-79.82374022,-71.249044,-150.391657,-40.335234
194,196,390,25216,0,50,-78.8329008,-70.864233,-150.391657,-40.335234
195,197,390,25344,0,50,-79.78703982,-71.249044,-150.391657,-40.335234
196,198,390,25472,0,50,-80.0158766,-71.249044,-150.391657,-40.335234
197,199,390,25600,0,50,-79.83773478,-71.249044,-150.391657,-40.335234
198,200,390,25728,0,50,-79.83773478,-71.249044,-150.391657,-40.335234
199,201,390,25856,0,50,-80.73049658,-71.73374849999999,-150.391657,-40.335234
200,202,390,25984,0,50,-80.73049658,-71.73374849999999,-150.391657,-40.335234
201,203,390,26112,0,50,-79.6733465,-71.73374849999999,-150.391657,-40.335234
