axis,model,seed,train_recurrent,lr,rho,wd,K,best_val_loss,test_heading_bump_angular_error,test_final_home_bearing_angular_error,epochs_ran,matrix_nnz,build_s,train_s
lr,spectrum_full,0,dense,0.0001,0.95,0.0,2,0.0844410983845591,0.5139794945716858,0.2300645112991333,50,54007801,12.9,305.8
lr,spectrum_full,1,dense,0.0001,0.95,0.0,2,0.1031024856492877,0.6233550906181335,0.3524772226810455,50,54007801,11.9,304.2
lr,spectrum_full,2,dense,0.0001,0.95,0.0,2,0.0885443072766065,0.5023589134216309,0.2822029590606689,50,54007801,13.6,306.0
lr,spectrum_full,0,dense,0.0001,0.95,0.0,3,0.126857372932136,0.4747226536273956,0.394833505153656,50,54007801,12.9,452.8
lr,spectrum_full,1,dense,0.0001,0.95,0.0,3,0.1447483245283365,0.5707932710647583,0.4753296971321106,46,54007801,11.9,415.2
lr,spectrum_full,2,dense,0.0001,0.95,0.0,3,0.1199321802705526,0.5598682165145874,0.3886771202087402,50,54007801,13.6,452.7
lr,spectrum_full,0,dense,0.0003,0.95,0.0,2,0.0699879871681332,0.4447727799415588,0.2228755801916122,50,54007801,12.9,304.1
lr,spectrum_full,1,dense,0.0003,0.95,0.0,2,0.0682720961049199,0.3934043049812317,0.2517747282981872,50,54007801,11.9,303.3
lr,spectrum_full,2,dense,0.0003,0.95,0.0,2,0.0621684337966144,0.4631825089454651,0.1811359077692031,50,54007801,13.6,304.1
lr,spectrum_full,0,dense,0.0003,0.95,0.0,3,0.0996280778199434,0.4443709254264831,0.322941392660141,50,54007801,12.9,450.6
lr,spectrum_full,1,dense,0.0003,0.95,0.0,3,0.1398177407681942,0.5441150069236755,0.4970393776893616,38,54007801,11.9,341.5
lr,spectrum_full,2,dense,0.0003,0.95,0.0,3,0.1154807740822434,0.4856997728347778,0.3845625519752502,50,54007801,13.6,450.3
lr,spectrum_full,0,dense,0.001,0.95,0.0,2,0.0683292811736464,0.4449859857559204,0.2554862797260284,50,54007801,12.9,303.6
lr,spectrum_full,1,dense,0.001,0.95,0.0,2,0.0700080059468746,0.4737856388092041,0.2758841514587402,50,54007801,11.9,302.9
lr,spectrum_full,2,dense,0.001,0.95,0.0,2,0.059718491975218,0.4098197221755981,0.1901324391365051,50,54007801,13.6,303.6
lr,spectrum_full,0,dense,0.001,0.95,0.0,3,0.0920348325744271,0.462704449892044,0.3095200359821319,50,54007801,12.9,449.7
lr,spectrum_full,1,dense,0.001,0.95,0.0,3,0.1001248909160494,0.4297251999378204,0.3399393856525421,50,54007801,11.9,448.5
lr,spectrum_full,2,dense,0.001,0.95,0.0,3,0.1648887190967798,0.5149035453796387,0.6209806203842163,26,54007801,13.6,234.1
