family,variant,runtime,fraction,seed,n_train,N,init_nonzero_edges,recurrent_params,trainable_params,best_val_loss,test_loss,test_overall_rmse,test_yaw_rmse,test_forward_rmse,test_lateral_rmse,test_translation_rmse,test_yaw_r2,test_forward_r2,test_lateral_r2
sparse_random,random,sparse,10,1,400,5000,432873,432873,757876,0.03674527630209923,0.03643442690372467,0.19087804853916168,0.14841197431087494,0.22523954510688782,0.1911652684211731,0.20889849960803986,-0.026491284370422363,0.48775070905685425,0.07051092386245728
sparse_random,random,sparse,15,0,600,5000,432873,432873,757876,0.03317087143659592,0.0325121209025383,0.1803111732006073,0.1438346952199936,0.20570053160190582,0.18583624064922333,0.19602030515670776,0.035849809646606445,0.5727689266204834,0.12161052227020264
sparse_random,random,sparse,15,2,600,5000,432873,432873,757876,0.03257530927658081,0.03235434368252754,0.17987313866615295,0.14224214851856232,0.20550985634326935,0.18599960207939148,0.19599756598472595,0.05708187818527222,0.5735605955123901,0.12006551027297974
sparse_random,random,sparse,20,1,800,5000,432873,432873,757876,0.03038102388381958,0.030338158831000328,0.17417852580547333,0.1402876377105713,0.1999247670173645,0.17709870636463165,0.18885691463947296,0.082816481590271,0.5964241027832031,0.2022678256034851
sparse_random,random,sparse,30,0,1200,5000,432873,432873,757876,0.0274009071290493,0.027490753680467606,0.16580335795879364,0.1325167864561081,0.18742775917053223,0.1725759357213974,0.18015488982200623,0.18161213397979736,0.6453010439872742,0.24249279499053955
sparse_random,random,sparse,30,2,1200,5000,432873,432873,757876,0.027719132602214813,0.027705056592822075,0.16644835472106934,0.1325814425945282,0.1893267035484314,0.17231562733650208,0.18102110922336578,0.18081337213516235,0.6380773782730103,0.24477618932724
sparse_random,random,sparse,50,1,2000,5000,432873,432873,757876,0.02780749462544918,0.02744509093463421,0.16566559672355652,0.1322660595178604,0.1895657777786255,0.1700166016817093,0.1800568550825119,0.1847059726715088,0.6371626853942871,0.26479411125183105
sparse_random,random,sparse,75,0,3000,5000,432873,432873,757876,0.021832285448908806,0.022305944934487343,0.14935174584388733,0.11347726732492447,0.1715334802865982,0.15689782798290253,0.16437871754169464,0.39988404512405396,0.7029087543487549,0.37387615442276
sparse_random,random,sparse,75,2,3000,5000,432873,432873,757876,0.02231595851480961,0.022774696350097656,0.15091288089752197,0.1156788021326065,0.1719486117362976,0.15929895639419556,0.1657445728778839,0.37637293338775635,0.7014690637588501,0.35456544160842896
sparse_random,random,sparse,100,1,4000,5000,432873,432873,757876,0.019709894433617592,0.02016628533601761,0.14200805127620697,0.10422152280807495,0.16096314787864685,0.15403775870800018,0.15753847360610962,0.49378830194473267,0.738395631313324,0.3964952230453491
pruned_connectome,connectome,sparse,5,0,200,1912,148233,148233,272516,0.04578332602977753,0.04503875970840454,0.2122233659029007,0.15019775927066803,0.26033878326416016,0.2116144895553589,0.2372308224439621,-0.05134284496307373,0.3156633973121643,-0.1389826536178589
pruned_connectome,connectome,sparse,5,2,200,1912,148233,148233,272516,0.03983529657125473,0.03937602415680885,0.19843393564224243,0.15266472101211548,0.23325252532958984,0.20103392004966736,0.21774013340473175,-0.08616244792938232,0.4506555199623108,-0.027933478355407715
pruned_connectome,connectome,sparse,10,1,400,1912,148233,148233,272516,0.033079613000154495,0.032994505017995834,0.18164390325546265,0.1462489366531372,0.20699720084667206,0.1864050030708313,0.19697047770023346,0.0032119154930114746,0.5673657059669495,0.1162254810333252
pruned_connectome,connectome,sparse,15,0,600,1912,148233,148233,272516,0.030657703056931496,0.030325286090373993,0.17414157092571259,0.1417277306318283,0.1966773271560669,0.17946317791938782,0.18826718628406525,0.06388968229293823,0.6094284057617188,0.18082427978515625
pruned_connectome,connectome,sparse,15,2,600,1912,148233,148233,272516,0.03088131733238697,0.030440647155046463,0.17447248101234436,0.13831518590450287,0.19791418313980103,0.1817159354686737,0.1899879276752472,0.10842663049697876,0.6045005321502686,0.16012948751449585
pruned_connectome,connectome,sparse,20,1,800,1912,148233,148233,272516,0.028742492198944092,0.028935082256793976,0.17010314762592316,0.13678279519081116,0.1943051815032959,0.17418691515922546,0.18452055752277374,0.1280725598335266,0.6187930703163147,0.22828423976898193
pruned_connectome,connectome,sparse,30,0,1200,1912,148233,148233,272516,0.025482334196567535,0.02539624087512493,0.15936197340488434,0.12733390927314758,0.17914535105228424,0.1669781506061554,0.17316865921020508,0.2443763017654419,0.675956666469574,0.29083770513534546
pruned_connectome,connectome,sparse,30,2,1200,1912,148233,148233,272516,0.02550077810883522,0.025487149134278297,0.15964695811271667,0.12911328673362732,0.17951521277427673,0.16602849960327148,0.17290344834327698,0.22311043739318848,0.6746171712875366,0.2988811731338501
pruned_connectome,connectome,sparse,50,1,2000,1912,148233,148233,272516,0.022302430123090744,0.0224008709192276,0.14966920018196106,0.11410892009735107,0.16792114078998566,0.16119658946990967,0.1645931452512741,0.3931846618652344,0.7152899503707886,0.3390965461730957
pruned_connectome,connectome,sparse,75,0,3000,1912,148233,148233,272516,0.01866508461534977,0.01897699013352394,0.13775700330734253,0.10233788192272186,0.15393128991127014,0.15087425708770752,0.15241049230098724,0.5119208693504333,0.760753333568573,0.421029269695282
pruned_connectome,connectome,sparse,75,2,3000,1912,148233,148233,272516,0.019574444741010666,0.019889889284968376,0.14103151857852936,0.10688034445047379,0.15624070167541504,0.15438631176948547,0.15531617403030396,0.46763062477111816,0.7535207271575928,0.39376091957092285
pruned_connectome,connectome,sparse,100,1,4000,1912,148233,148233,272516,0.016698915511369705,0.01713915914297104,0.13091661036014557,0.09249699860811234,0.14493757486343384,0.14783379435539246,0.14639292657375336,0.6012756824493408,0.7878934741020203,0.4441292881965637
pruned_random,random,sparse,5,0,200,1912,148233,148233,272516,0.03972751274704933,0.039826650172472,0.19956615567207336,0.1521657258272171,0.23639298975467682,0.2011060118675232,0.21946017444133759,-0.07907354831695557,0.435763418674469,-0.028670787811279297
pruned_random,random,sparse,5,2,200,1912,148233,148233,272516,0.04441935569047928,0.04406777024269104,0.20992325246334076,0.15388940274715424,0.2593991756439209,0.2030593305826187,0.232939213514328,-0.10365879535675049,0.3205941915512085,-0.04875063896179199
pruned_random,random,sparse,10,1,400,1912,148233,148233,272516,0.041995417326688766,0.041318487375974655,0.20326949656009674,0.149907186627388,0.24913586676120758,0.19853031635284424,0.2252589613199234,-0.047278761863708496,0.3732929825782776,-0.002489924430847168
pruned_random,random,sparse,15,0,600,1912,148233,148233,272516,0.0318404883146286,0.03138231858611107,0.17715054750442505,0.13910920917987823,0.1999620795249939,0.18657611310482025,0.1933850646018982,0.0981607437133789,0.5962734222412109,0.11460232734680176
pruned_random,random,sparse,15,2,600,1912,148233,148233,272516,0.03312557563185692,0.03266855329275131,0.18074443936347961,0.14783789217472076,0.20554806292057037,0.1841180920600891,0.1951276808977127,-0.01856541633605957,0.5734020471572876,0.1377776861190796
pruned_random,random,sparse,20,1,800,1912,148233,148233,272516,0.030100850388407707,0.03006218746304512,0.17338450253009796,0.13692882657051086,0.19918210804462433,0.17822346091270447,0.1889934241771698,0.12620973587036133,0.5994168519973755,0.19210284948349
pruned_random,random,sparse,30,0,1200,1912,148233,148233,272516,0.02655665948987007,0.026615716516971588,0.16314323246479034,0.1318129152059555,0.18335691094398499,0.16986089944839478,0.17673778533935547,0.19028282165527344,0.6605415344238281,0.26614004373550415
pruned_random,random,sparse,30,2,1200,1912,148233,148233,272516,0.027668355032801628,0.027341756969690323,0.1653534322977066,0.1315915882587433,0.1880141943693161,0.17134560644626617,0.17987340688705444,0.1929997205734253,0.6430779695510864,0.25325512886047363
pruned_random,random,sparse,50,1,2000,1912,148233,148233,272516,0.024167487397789955,0.02405969798564911,0.1551118940114975,0.12542779743671417,0.17487096786499023,0.1608320027589798,0.16799844801425934,0.2668294906616211,0.6912354230880737,0.3420827388763428
pruned_random,random,sparse,75,0,3000,1912,148233,148233,272516,0.02163706161081791,0.02207220159471035,0.14856715500354767,0.11314979195594788,0.1695777326822281,0.1570252925157547,0.1634223312139511,0.4033427834510803,0.7096447944641113,0.37285852432250977
pruned_random,random,sparse,75,2,3000,1912,148233,148233,272516,0.022200537845492363,0.0222657211124897,0.14921702444553375,0.11806773394346237,0.1691201627254486,0.15574152767658234,0.16256871819496155,0.3503493666648865,0.7112095355987549,0.38307100534439087
pruned_random,random,sparse,100,1,4000,1912,148233,148233,272516,0.0187858734279871,0.019292058423161507,0.13889585435390472,0.1003945842385292,0.16007433831691742,0.14890700578689575,0.15459157526493073,0.5302811861038208,0.741276741027832,0.43602925539016724
dense_connectome,connectome,dense,5,0,200,5000,432873,25000000,25325003,0.03893519192934036,0.039079196751117706,0.19768458604812622,0.1530132293701172,0.22951726615428925,0.20284542441368103,0.2165924310684204,-0.09112703800201416,0.4681088328361511,-0.04654228687286377
dense_connectome,connectome,dense,5,2,200,5000,432873,25000000,25325003,0.03526691719889641,0.03560841828584671,0.18870192766189575,0.1505015343427658,0.21916431188583374,0.19010895490646362,0.20515182614326477,-0.05559968948364258,0.515011191368103,0.08075457811355591
dense_connectome,connectome,dense,10,1,400,5000,432873,25000000,25325003,0.02839849703013897,0.02898208610713482,0.17024125158786774,0.13017047941684723,0.19463852047920227,0.1792137324810028,0.1870853751897812,0.21033591032028198,0.6174839735031128,0.18310004472732544
dense_connectome,connectome,dense,15,0,600,5000,432873,25000000,25325003,0.025442617014050484,0.025980636477470398,0.1611851006746292,0.11944006383419037,0.1852889060974121,0.17130039632320404,0.17843198776245117,0.3351595401763916,0.6533502340316772,0.25364911556243896
dense_connectome,connectome,dense,15,2,600,5000,432873,25000000,25325003,0.025679977610707283,0.026252448558807373,0.1620260775089264,0.12182997912168503,0.18613097071647644,0.17108464241027832,0.17876631021499634,0.3082873225212097,0.650192379951477,0.2555280327796936
dense_connectome,connectome,dense,20,1,800,5000,432873,25000000,25325003,0.023651305586099625,0.023874200880527496,0.15451279282569885,0.11313728988170624,0.17765915393829346,0.16510535776615143,0.17149710655212402,0.4034746289253235,0.6813108921051025,0.3066561818122864
dense_connectome,connectome,dense,30,0,1200,5000,432873,25000000,25325003,0.020924018695950508,0.020700233057141304,0.14387576282024384,0.10234424471855164,0.16360114514827728,0.1576739102602005,0.16066475212574005,0.511860191822052,0.7297506332397461,0.3676668405532837
dense_connectome,connectome,dense,30,2,1200,5000,432873,25000000,25325003,0.020856717601418495,0.02111179567873478,0.14529898762702942,0.10226579755544662,0.16669656336307526,0.15839582681655884,0.16259931027889252,0.5126081705093384,0.7194273471832275,0.36186325550079346
dense_connectome,connectome,dense,50,1,2000,5000,432873,25000000,25325003,0.01791120134294033,0.018379801884293556,0.13557212054729462,0.09307962656021118,0.1547170728445053,0.15012706816196442,0.1524394303560257,0.5962368249893188,0.7583044767379761,0.42674964666366577
dense_connectome,connectome,dense,75,0,3000,5000,432873,25000000,25325003,0.01590486615896225,0.01669498160481453,0.12920905649662018,0.08726172149181366,0.1445874124765396,0.1468491554260254,0.145722895860672,0.6451335549354553,0.7889171242713928,0.4515092968940735
dense_connectome,connectome,dense,75,2,3000,5000,432873,25000000,25325003,0.016058359295129776,0.01684170961380005,0.12977561354637146,0.08767770230770111,0.14524805545806885,0.14744704961776733,0.1463518887758255,0.6417421102523804,0.7869837284088135,0.44703394174575806
dense_connectome,connectome,dense,100,1,4000,5000,432873,25000000,25325003,0.01477302797138691,0.015498629771173,0.12449349462985992,0.0837053656578064,0.13785375654697418,0.14312782883644104,0.14051568508148193,0.6734693050384521,0.8081201910972595,0.47895586490631104
dense_random,random,dense,5,0,200,5000,432873,25000000,25325003,0.03451532498002052,0.03411993756890297,0.18471582233905792,0.13966168463230133,0.21569761633872986,0.19060154259204865,0.2035367637872696,0.09098309278488159,0.5302327275276184,0.07598471641540527
dense_random,random,dense,5,2,200,5000,432873,25000000,25325003,0.034687116742134094,0.03485541045665741,0.18669603765010834,0.14468879997730255,0.21678262948989868,0.19140656292438507,0.20448873937129974,0.024365365505218506,0.5254948139190674,0.06816297769546509
dense_random,random,dense,10,1,400,5000,432873,25000000,25325003,0.028435636311769485,0.028814127668738365,0.1697472482919693,0.1279301792383194,0.19597294926643372,0.17796236276626587,0.1871846467256546,0.23728299140930176,0.6122210025787354,0.19446825981140137
dense_random,random,dense,15,0,600,5000,432873,25000000,25325003,0.025624388828873634,0.026119764894247055,0.16161610186100006,0.11976344883441925,0.18529818952083588,0.17228050529956818,0.17890778183937073,0.3315545320510864,0.653315544128418,0.24508410692214966
dense_random,random,dense,15,2,600,5000,432873,25000000,25325003,0.025784442201256752,0.026441726833581924,0.16260913014411926,0.12311184406280518,0.18760941922664642,0.170209601521492,0.1791209727525711,0.2936546802520752,0.6446132063865662,0.26312392950057983
dense_random,random,dense,20,1,800,5000,432873,25000000,25325003,0.023569835349917412,0.024029439315199852,0.15501432120800018,0.11375325918197632,0.1782025247812271,0.16550666093826294,0.17197169363498688,0.3969614505767822,0.6793584823608398,0.30328160524368286
dense_random,random,dense,30,0,1200,5000,432873,25000000,25325003,0.02100047655403614,0.020796362310647964,0.14420944452285767,0.10229333490133286,0.1640232354402542,0.15818169713020325,0.16112904250621796,0.5123456716537476,0.7283543348312378,0.36358731985092163
dense_random,random,dense,30,2,1200,5000,432873,25000000,25325003,0.020752910524606705,0.020981935784220695,0.1448514312505722,0.1032162457704544,0.16476498544216156,0.15857039391994476,0.16169756650924683,0.503506600856781,0.7258918881416321,0.36045587062835693
dense_random,random,dense,50,1,2000,5000,432873,25000000,25325003,0.017987437546253204,0.01833116076886654,0.13539262115955353,0.09299664199352264,0.15404774248600006,0.15038037300109863,0.1522253155708313,0.5969564914703369,0.7603912353515625,0.42481356859207153
dense_random,random,dense,75,0,3000,5000,432873,25000000,25325003,0.01608242653310299,0.01689794473350048,0.12999209761619568,0.08738312125205994,0.14582324028015137,0.14762601256370544,0.14672768115997314,0.6441454291343689,0.7852933406829834,0.44569075107574463
dense_random,random,dense,75,2,3000,5000,432873,25000000,25325003,0.015972694382071495,0.01690204069018364,0.13000784814357758,0.0880124643445015,0.14498040080070496,0.14812342822551727,0.146560400724411,0.6390012502670288,0.7877681255340576,0.4419490098953247
dense_random,random,dense,100,1,4000,5000,432873,25000000,25325003,0.015084373764693737,0.015658536925911903,0.12513408064842224,0.08566930890083313,0.1383737027645111,0.14313973486423492,0.14077706634998322,0.6579670906066895,0.8066700100898743,0.47886914014816284
sparse_connectome,connectome,sparse,5,1,200,5000,432873,432873,757876,0.04376372694969177,0.04365868866443634,0.2089466154575348,0.15939198434352875,0.25299033522605896,0.2038767784833908,0.2297501415014267,-0.183996319770813,0.353751003742218,-0.05721139907836914
sparse_connectome,connectome,sparse,10,0,400,5000,432873,432873,757876,0.03289274126291275,0.032770104706287384,0.18102514743804932,0.14459626376628876,0.20635542273521423,0.1865997016429901,0.19672594964504242,0.025612831115722656,0.5700441598892212,0.11437839269638062
sparse_connectome,connectome,sparse,10,2,400,5000,432873,432873,757876,0.0336710549890995,0.033506739884614944,0.18304845690727234,0.1477535367012024,0.20961453020572662,0.1864156723022461,0.19835463166236877,-0.017403244972229004,0.5563558340072632,0.11612439155578613
sparse_connectome,connectome,sparse,15,1,600,5000,432873,432873,757876,0.030829038470983505,0.03075721673667431,0.17537735402584076,0.13940021395683289,0.19889722764492035,0.18242532014846802,0.1908392757177353,0.09438365697860718,0.6005619168281555,0.15355926752090454
sparse_connectome,connectome,sparse,20,0,800,5000,432873,432873,757876,0.02823600359261036,0.028212085366249084,0.16796453297138214,0.13360710442066193,0.1916031539440155,0.1734175980091095,0.18273678421974182,0.16808968782424927,0.6293215751647949,0.2350858449935913
sparse_connectome,connectome,sparse,20,2,800,5000,432873,432873,757876,0.02921506017446518,0.02901368960738182,0.17033405601978302,0.13843855261802673,0.19225101172924042,0.1758275181055069,0.18422235548496246,0.10683548450469971,0.626810610294342,0.213678777217865
sparse_connectome,connectome,sparse,30,1,1200,5000,432873,432873,757876,0.025696326047182083,0.0258405189961195,0.1607498675584793,0.12716461718082428,0.18363864719867706,0.16621507704257965,0.17514373362064362,0.24638420343399048,0.6594975590705872,0.29730451107025146
sparse_connectome,connectome,sparse,50,0,2000,5000,432873,432873,757876,0.02082372084259987,0.021504689007997513,0.14664477109909058,0.10851375758647919,0.16747185587882996,0.15713664889335632,0.16238656640052795,0.45123422145843506,0.7168114185333252,0.37196874618530273
sparse_connectome,connectome,sparse,50,2,2000,5000,432873,432873,757876,0.02093229629099369,0.021618498489260674,0.14703230559825897,0.10873173177242279,0.16826693713665009,0.1572229564189911,0.16283869743347168,0.4490273594856262,0.7141161561012268,0.3712785840034485
sparse_connectome,connectome,sparse,75,1,3000,5000,432873,432873,757876,0.017690394073724747,0.01831127516925335,0.13531915843486786,0.09511728584766388,0.15101125836372375,0.1519279181957245,0.1514703333377838,0.5783653259277344,0.7697441577911377,0.4129142761230469
sparse_connectome,connectome,sparse,100,0,4000,5000,432873,432873,757876,0.016362125054001808,0.01722116954624653,0.1312294602394104,0.09194241464138031,0.14370301365852356,0.1501980572938919,0.14698657393455505,0.6060426235198975,0.7914915084838867,0.42620736360549927
sparse_connectome,connectome,sparse,100,2,4000,5000,432873,432873,757876,0.016447072848677635,0.01723131537437439,0.13126809895038605,0.09306726604700089,0.1459759771823883,0.14738817512989044,0.14668405055999756,0.5963441133499146,0.7848433256149292,0.4474754333496094
sparse_random,random,sparse,5,1,200,5000,432873,432873,757876,0.04850402846932411,0.047130607068538666,0.21709585189819336,0.1504305601119995,0.2778509855270386,0.20386557281017303,0.2436826080083847,-0.054604291915893555,0.22050034999847412,-0.05709517002105713
sparse_random,random,sparse,10,0,400,5000,432873,432873,757876,0.03822978213429451,0.03778652474284172,0.19438757002353668,0.15059241652488708,0.23012907803058624,0.19422103464603424,0.21293358504772186,-0.056874990463256836,0.46526938676834106,0.04055774211883545
sparse_random,random,sparse,10,2,400,5000,432873,432873,757876,0.0344185009598732,0.034252967685461044,0.1850755661725998,0.14844083786010742,0.21487170457839966,0.18588803708553314,0.20090323686599731,-0.02689075469970703,0.5338233709335327,0.12112075090408325
sparse_random,random,sparse,15,1,600,5000,432873,432873,757876,0.03232067823410034,0.0320701077580452,0.1790812909603119,0.14581650495529175,0.20420551300048828,0.18233990669250488,0.19358175992965698,0.009097933769226074,0.5789564847946167,0.15435165166854858
sparse_random,random,sparse,20,0,800,5000,432873,432873,757876,0.02988378331065178,0.02980923093855381,0.17265349626541138,0.13775812089443207,0.19832435250282288,0.17640210688114166,0.18768371641635895,0.11559367179870605,0.6028594970703125,0.20853102207183838
sparse_random,random,sparse,20,2,800,5000,432873,432873,757876,0.029759466648101807,0.029852958396077156,0.1727800816297531,0.13843487203121185,0.19777312874794006,0.17686298489570618,0.18760958313941956,0.10688287019729614,0.6050640940666199,0.2043900489807129
sparse_random,random,sparse,30,1,1200,5000,432873,432873,757876,0.027615265920758247,0.02739916555583477,0.16552692651748657,0.1336260885000229,0.18762050569057465,0.1707041710615158,0.1793621927499771,0.16785329580307007,0.6445711851119995,0.2588355541229248
sparse_random,random,sparse,50,0,2000,5000,432873,432873,757876,0.026587912812829018,0.026487883180379868,0.1627509891986847,0.12699025869369507,0.18224315345287323,0.1735641062259674,0.17795653641223907,0.2484493851661682,0.664652943611145,0.2337929606437683
sparse_random,random,sparse,50,2,2000,5000,432873,432873,757876,0.02548389695584774,0.02564428187906742,0.1601383239030838,0.12512142956256866,0.1831972748041153,0.16648133099079132,0.1750391721725464,0.2704067826271057,0.6611323952674866,0.2950514554977417
sparse_random,random,sparse,75,1,3000,5000,432873,432873,757876,0.022728508338332176,0.02314244955778122,0.15212643146514893,0.1137261837720871,0.17893855273723602,0.15644368529319763,0.16806793212890625,0.39724844694137573,0.6767042875289917,0.37749558687210083
sparse_random,random,sparse,100,0,4000,5000,432873,432873,757876,0.019462622702121735,0.019873935729265213,0.1409749537706375,0.10269755125045776,0.16178080439567566,0.15133436024188995,0.15664447844028473,0.5084840655326843,0.7357311248779297,0.41749268770217896
sparse_random,random,sparse,100,2,4000,5000,432873,432873,757876,0.0206077229231596,0.020854810252785683,0.14441195130348206,0.11058902740478516,0.1650802195072174,0.15193061530590057,0.15864185988903046,0.4300438165664673,0.7248420119285583,0.41289347410202026
pruned_connectome,connectome,sparse,5,1,200,1912,148233,148233,272516,0.04014921560883522,0.04006702080368996,0.2001674771308899,0.15577058494091034,0.237407848238945,0.19893182814121246,0.21901659667491913,-0.130806565284729,0.4309084415435791,-0.0065490007400512695
pruned_connectome,connectome,sparse,10,0,400,1912,148233,148233,272516,0.0329858735203743,0.03259602561593056,0.1805436909198761,0.14333125948905945,0.20545558631420135,0.18716895580291748,0.19652508199214935,0.042587220668792725,0.5737857818603516,0.10896658897399902
pruned_connectome,connectome,sparse,10,2,400,1912,148233,148233,272516,0.03297360613942146,0.03237592801451683,0.1799331158399582,0.1406402885913849,0.20662923157215118,0.18615128099918365,0.19665712118148804,0.07819956541061401,0.5689024329185486,0.11862975358963013
pruned_connectome,connectome,sparse,15,1,600,1912,148233,148233,272516,0.03172999247908592,0.0316249281167984,0.17783398926258087,0.14144985377788544,0.20223616063594818,0.18430207669734955,0.19347701966762543,0.06755667924880981,0.5870383977890015,0.1360536813735962
pruned_connectome,connectome,sparse,20,0,800,1912,148233,148233,272516,0.02830715849995613,0.02825024724006653,0.16807809472084045,0.13382311165332794,0.19176866114139557,0.17339763045310974,0.1828143149614334,0.16539758443832397,0.6286808848381042,0.23526203632354736
pruned_connectome,connectome,sparse,20,2,800,1912,148233,148233,272516,0.028790384531021118,0.028482548892498016,0.16876773536205292,0.1359642595052719,0.19193482398986816,0.1735576093196869,0.18297730386257172,0.13847684860229492,0.6280370950698853,0.23385024070739746
pruned_connectome,connectome,sparse,30,1,1200,1912,148233,148233,272516,0.024918872863054276,0.025300918146967888,0.15906262397766113,0.12552504241466522,0.18049238622188568,0.16603808104991913,0.17341598868370056,0.2656922936439514,0.6710652112960815,0.2988002300262451
pruned_connectome,connectome,sparse,50,0,2000,1912,148233,148233,272516,0.021404236555099487,0.021867837756872177,0.1478777825832367,0.10884036868810654,0.165851429104805,0.16202029585838318,0.16394706070423126,0.447925865650177,0.7222651243209839,0.3323249816894531
pruned_connectome,connectome,sparse,50,2,2000,1912,148233,148233,272516,0.021965399384498596,0.022120537236332893,0.14872974157333374,0.11177879571914673,0.1704811304807663,0.15749052166938782,0.16411441564559937,0.41771411895751953,0.7065428495407104,0.36913686990737915
pruned_connectome,connectome,sparse,75,1,3000,1912,148233,148233,272516,0.01869349367916584,0.019307101145386696,0.13894999027252197,0.09966150671243668,0.15371280908584595,0.15608054399490356,0.154901385307312,0.5371158719062805,0.7614320516586304,0.380382239818573
pruned_connectome,connectome,sparse,100,0,4000,1912,148233,148233,272516,0.0165714044123888,0.017240677028894424,0.13130375742912292,0.09165947139263153,0.14643852412700653,0.1479061394929886,0.14717431366443634,0.6084636449813843,0.7834776639938354,0.4435851573944092
pruned_connectome,connectome,sparse,100,2,4000,1912,148233,148233,272516,0.017240352928638458,0.017670221626758575,0.13292938470840454,0.09869430959224701,0.14742232859134674,0.14675362408161163,0.14708855748176575,0.5460566878318787,0.7805585861206055,0.4522228240966797
pruned_random,random,sparse,5,1,200,1912,148233,148233,272516,0.04147300124168396,0.04153774306178093,0.20380809903144836,0.15189002454280853,0.24659600853919983,0.20182368159294128,0.22532488405704498,-0.07516694068908691,0.3860059976577759,-0.03602588176727295
pruned_random,random,sparse,10,0,400,1912,148233,148233,272516,0.03448675200343132,0.034243326634168625,0.18504951894283295,0.1503087282180786,0.21229469776153564,0.18726517260074615,0.2001715451478958,-0.052896857261657715,0.5449382066726685,0.10805022716522217
pruned_random,random,sparse,10,2,400,1912,148233,148233,272516,0.035070743411779404,0.03445151820778847,0.18561120331287384,0.14555765688419342,0.212985098361969,0.1918451339006424,0.20269128680229187,0.012612760066986084,0.5419736504554749,0.0638878345489502
pruned_random,random,sparse,15,1,600,1912,148233,148233,272516,0.03161485493183136,0.0312608927488327,0.17680750787258148,0.14283940196037292,0.20169268548488617,0.1808299422264099,0.19154566526412964,0.04914677143096924,0.5892549753189087,0.16829943656921387
pruned_random,random,sparse,20,0,800,1912,148233,148233,272516,0.029984403401613235,0.029816579073667526,0.1726747751235962,0.1396470069885254,0.19454926252365112,0.1791614145040512,0.1870138943195343,0.09117412567138672,0.617834746837616,0.1835768222808838
pruned_random,random,sparse,20,2,800,1912,148233,148233,272516,0.029667329043149948,0.029323793947696686,0.1712419092655182,0.1363276243209839,0.19609619677066803,0.17587633430957794,0.18626075983047485,0.13386595249176025,0.611733078956604,0.2132420539855957
