io,arm,seed,val_acc,test_acc_overall,test_macro_f1,test_acc_mean_per_batch,per_batch,wall_s
bio,random,0,0.9723,0.5682,0.5372,0.6379,"{""3"": 0.9388, ""4"": 0.8571, ""5"": 0.9492, ""6"": 0.7091, ""7"": 0.4354, ""8"": 0.2959, ""9"": 0.4681, ""10"": 0.4497}",3.3
bio,random,1,0.9763,0.5645,0.5461,0.6377,"{""3"": 0.9016, ""4"": 0.8012, ""5"": 0.9289, ""6"": 0.7774, ""7"": 0.4166, ""8"": 0.3163, ""9"": 0.5383, ""10"": 0.4217}",3.4
bio,random,2,0.9842,0.6198,0.6174,0.7036,"{""3"": 0.9628, ""4"": 0.8509, ""5"": 0.9543, ""6"": 0.7126, ""7"": 0.5455, ""8"": 0.4898, ""9"": 0.6511, ""10"": 0.4617}",6.7
bio,random,3,0.9802,0.6076,0.5792,0.6819,"{""3"": 0.942, ""4"": 0.8075, ""5"": 0.934, ""6"": 0.7022, ""7"": 0.5262, ""8"": 0.5068, ""9"": 0.5681, ""10"": 0.4681}",4.2
bio,random,4,0.9921,0.5625,0.5577,0.6191,"{""3"": 0.9061, ""4"": 0.7888, ""5"": 0.9137, ""6"": 0.6696, ""7"": 0.5176, ""8"": 0.3129, ""9"": 0.4511, ""10"": 0.3933}",6.6
bio,random,5,0.9644,0.5732,0.545,0.6417,"{""3"": 0.976, ""4"": 0.8758, ""5"": 0.9492, ""6"": 0.6513, ""7"": 0.4727, ""8"": 0.2653, ""9"": 0.4957, ""10"": 0.4478}",4.6
bio,spectrum,0,0.9723,0.4738,0.4262,0.5207,"{""3"": 0.8928, ""4"": 0.6087, ""5"": 0.9137, ""6"": 0.5465, ""7"": 0.3601, ""8"": 0.1497, ""9"": 0.3213, ""10"": 0.3731}",2.4
bio,spectrum,1,0.9723,0.5369,0.4994,0.5849,"{""3"": 0.9098, ""4"": 0.5963, ""5"": 0.9188, ""6"": 0.6439, ""7"": 0.3831, ""8"": 0.2993, ""9"": 0.4638, ""10"": 0.4642}",1.7
bio,spectrum,2,0.9723,0.5155,0.4463,0.6317,"{""3"": 0.9458, ""4"": 0.7019, ""5"": 0.9594, ""6"": 0.5217, ""7"": 0.3864, ""8"": 0.6361, ""9"": 0.4894, ""10"": 0.4125}",1.7
bio,spectrum,3,0.9763,0.5152,0.4718,0.5535,"{""3"": 0.8588, ""4"": 0.5901, ""5"": 0.8731, ""6"": 0.5965, ""7"": 0.4046, ""8"": 0.2381, ""9"": 0.434, ""10"": 0.4331}",2.8
bio,spectrum,4,0.9723,0.5376,0.4906,0.596,"{""3"": 0.8632, ""4"": 0.6087, ""5"": 0.8985, ""6"": 0.5391, ""7"": 0.4918, ""8"": 0.4592, ""9"": 0.4766, ""10"": 0.4306}",2.4
bio,spectrum,5,0.9565,0.4705,0.4027,0.518,"{""3"": 0.8562, ""4"": 0.5652, ""5"": 0.8274, ""6"": 0.5522, ""7"": 0.3465, ""8"": 0.2177, ""9"": 0.4, ""10"": 0.3789}",1.9
bio,dense,0,0.9763,0.4924,0.4226,0.5404,"{""3"": 0.9016, ""4"": 0.5466, ""5"": 0.9086, ""6"": 0.5178, ""7"": 0.3961, ""8"": 0.2075, ""9"": 0.4489, ""10"": 0.3964}",2.0
bio,dense,1,0.9842,0.5637,0.538,0.6067,"{""3"": 0.947, ""4"": 0.6708, ""5"": 0.9543, ""6"": 0.717, ""7"": 0.395, ""8"": 0.2347, ""9"": 0.4532, ""10"": 0.4814}",2.9
bio,dense,2,0.9723,0.4851,0.4419,0.5141,"{""3"": 0.8405, ""4"": 0.5839, ""5"": 0.8629, ""6"": 0.5052, ""7"": 0.4118, ""8"": 0.1565, ""9"": 0.3426, ""10"": 0.4094}",2.0
bio,dense,3,0.9723,0.4626,0.3854,0.531,"{""3"": 0.8462, ""4"": 0.6025, ""5"": 0.868, ""6"": 0.5222, ""7"": 0.2851, ""8"": 0.1599, ""9"": 0.5447, ""10"": 0.4192}",2.2
bio,dense,4,0.9842,0.491,0.4362,0.5652,"{""3"": 0.8455, ""4"": 0.6211, ""5"": 0.868, ""6"": 0.5157, ""7"": 0.419, ""8"": 0.4014, ""9"": 0.4766, ""10"": 0.3739}",1.7
bio,dense,5,0.9605,0.5014,0.4511,0.5505,"{""3"": 0.9395, ""4"": 0.5963, ""5"": 0.9289, ""6"": 0.5857, ""7"": 0.3573, ""8"": 0.1395, ""9"": 0.4489, ""10"": 0.4078}",2.4
