io,arm,variant,seed,fraction,n_train,params,epochs_ran,best_val_loss,wall_s,test_iid_auprc,test_iid_auroc,test_iid_recall,test_iid_specificity,test_iid_precision,test_iid_recall_at_fpr10,test_iid_recall_at_fpr05,test_iid_balanced_acc,test_iid_f1_at_0p5,test_iid_f1_best,test_iid_thr_f1_best,test_iid_accuracy,test_iid_n,test_iid_n_pos,test_low_auprc,test_low_auroc,test_low_recall,test_low_specificity,test_low_precision,test_low_recall_at_fpr10,test_low_recall_at_fpr05,test_low_balanced_acc,test_low_f1_at_0p5,test_low_f1_best,test_low_thr_f1_best,test_low_accuracy,test_low_n,test_low_n_pos,low_latency,low_worst_interferent
generic,dense,standard,1,10,510,12284990,30,0.4368,15.3,0.92723,0.81499,0.63147,0.78736,0.88788,0.53664,0.5,0.70941,0.73804,0.8738,0.07855,0.67398,638,464,0.94598,0.68749,0.38793,0.78736,0.93588,0.29598,0.26293,0.58764,0.5485,0.94845,0.0443,0.43231,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.1042, ""30-60s"": 0.3125, "">60s"": 0.4508}","{""methane"": 0.3491, ""CO"": 0.4267, ""worst"": 0.3491}"
bio,adapter_only,standard,1,25,1276,502,7,0.5882,0.1,0.85164,0.64114,0.67026,0.47126,0.77171,0.3125,0.28017,0.57076,0.71742,0.8444,0.4402,0.61599,638,464,0.93328,0.60808,0.61135,0.47126,0.90244,0.27586,0.23132,0.54131,0.72891,0.94213,0.44037,0.59579,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.0833, ""30-60s"": 0.2847, "">60s"": 0.423}","{""methane"": 0.5733, ""CO"": 0.6494, ""worst"": 0.5733}"
bio,connectome,standard,2,25,1276,263508,25,0.2099,49.8,0.97366,0.93013,0.78448,0.84483,0.93095,0.74784,0.71552,0.81466,0.85146,0.92083,0.19284,0.80094,638,464,0.98813,0.91144,0.75934,0.83908,0.97419,0.72486,0.68678,0.79921,0.85345,0.9534,0.03643,0.7682,1566,1392,"{""pre"": 0.4019, ""0-5s"": 0.6667, ""5-10s"": 0.44, ""10-30s"": 0.5938, ""30-60s"": 0.7708, "">60s"": 0.8699}","{""methane"": 0.7917, ""CO"": 0.727, ""worst"": 0.727}"
bio,connectome,graded_ln,2,50,2552,263508,19,0.1981,71.1,0.9719,0.92742,0.89224,0.72414,0.8961,0.74138,0.69828,0.80819,0.89417,0.92663,0.23086,0.84639,638,464,0.98166,0.87209,0.79239,0.72414,0.9583,0.61925,0.58046,0.75826,0.86748,0.9561,0.00514,0.7848,1566,1392,"{""pre"": 0.1994, ""0-5s"": 0.6667, ""5-10s"": 0.36, ""10-30s"": 0.5312, ""30-60s"": 0.7153, "">60s"": 0.7841}","{""methane"": 0.819, ""CO"": 0.7658, ""worst"": 0.7658}"
bio,degree,standard,2,100,5104,263508,22,0.1837,161.3,0.96959,0.92234,0.97198,0.67816,0.88955,0.72414,0.70905,0.82507,0.92894,0.93238,0.4625,0.89185,638,464,0.98154,0.87152,0.85632,0.68391,0.95589,0.62572,0.61997,0.77011,0.90337,0.95637,0.00016,0.83716,1566,1392,"{""pre"": 0.0482, ""0-5s"": 0.625, ""5-10s"": 0.36, ""10-30s"": 0.5625, ""30-60s"": 0.7222, "">60s"": 0.851}","{""methane"": 0.9095, ""CO"": 0.8032, ""worst"": 0.8032}"
bio,random,standard,0,5,255,263508,25,0.2574,16.7,0.96947,0.92116,0.92457,0.66092,0.8791,0.71121,0.67241,0.79274,0.90126,0.91833,0.19509,0.85266,638,464,0.97989,0.86371,0.84483,0.66092,0.95223,0.56466,0.52227,0.75287,0.89532,0.95501,0.02671,0.82439,1566,1392,"{""pre"": 0.2026, ""0-5s"": 0.4167, ""5-10s"": 0.32, ""10-30s"": 0.4479, ""30-60s"": 0.5972, "">60s"": 0.7273}","{""methane"": 0.8362, ""CO"": 0.8534, ""worst"": 0.8362}"
bio,spectrum,standard,0,10,510,12247627,29,0.6598,15.5,0.74584,0.52781,0.49138,0.58046,0.75748,0.07543,0.04957,0.53592,0.59608,0.84211,0.34698,0.51567,638,464,0.90283,0.5137,0.47845,0.58046,0.90122,0.12356,0.07687,0.52945,0.62506,0.94118,0.32729,0.48978,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.0417, ""30-60s"": 0.1597, "">60s"": 0.1831}","{""methane"": 0.4397, ""CO"": 0.5172, ""worst"": 0.4397}"
bio,dense,standard,0,25,1276,12247627,11,0.6717,11.9,0.77998,0.59343,0.3944,0.78161,0.82805,0.12284,0.09483,0.588,0.53431,0.8422,0.49301,0.5,638,464,0.90909,0.57438,0.35776,0.78161,0.9291,0.12787,0.07902,0.56968,0.5166,0.94173,0.49301,0.40485,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.0104, ""30-60s"": 0.125, "">60s"": 0.2008}","{""methane"": 0.3276, ""CO"": 0.3879, ""worst"": 0.3276}"
generic,connectome,standard,0,50,2552,300871,9,0.1996,33.6,0.98245,0.95494,0.96121,0.72414,0.90283,0.80819,0.76078,0.84267,0.93111,0.94201,0.32911,0.89655,638,464,0.98656,0.90432,0.85489,0.72414,0.96123,0.68894,0.64655,0.78951,0.90494,0.96025,0.07685,0.84036,1566,1392,"{""pre"": 0.582, ""0-5s"": 0.7083, ""5-10s"": 0.32, ""10-30s"": 0.5312, ""30-60s"": 0.6458, "">60s"": 0.7689}","{""methane"": 0.8707, ""CO"": 0.8391, ""worst"": 0.8391}"
generic,degree,standard,0,100,5104,300871,15,0.1834,107.2,0.97446,0.93242,0.93319,0.68391,0.8873,0.75431,0.71983,0.80855,0.90966,0.92525,0.22608,0.8652,638,464,0.98281,0.87568,0.84914,0.68391,0.95554,0.64224,0.60632,0.76652,0.8992,0.94788,0.00382,0.83078,1566,1392,"{""pre"": 0.1865, ""0-5s"": 0.5833, ""5-10s"": 0.36, ""10-30s"": 0.5417, ""30-60s"": 0.7083, "">60s"": 0.8321}","{""methane"": 0.9095, ""CO"": 0.7888, ""worst"": 0.7888}"
