io,arm,variant,seed,fraction,epoch,train_loss,val_auprc,val_loss
bio,degree,graded_ln,2,5,30,0.1721359938383102,0.986,0.2486
bio,random,standard,0,5,1,0.7468669265508652,0.8341,2.8298
bio,random,standard,0,5,2,0.6149949580430984,0.676,1.2702
bio,random,standard,0,5,3,1.0797142684459686,0.6761,1.5711
bio,random,standard,0,5,4,0.7875608801841736,0.8945,0.6854
bio,random,standard,0,5,5,0.2757873684167862,0.8882,0.8774
bio,random,standard,0,5,6,0.2713487818837166,0.9403,0.5012
bio,random,standard,0,5,7,0.2541791498661041,0.9267,0.5459
bio,random,standard,0,5,8,0.2435143291950225,0.9236,0.6742
bio,random,standard,0,5,9,0.2190222665667534,0.9239,0.4494
bio,random,standard,0,5,10,0.2504309713840484,0.9548,0.4087
bio,random,standard,0,5,11,0.2000754475593567,0.9499,0.6007
bio,random,standard,0,5,12,0.2047774046659469,0.9575,0.3685
bio,random,standard,0,5,13,0.1923544704914093,0.9664,0.3403
bio,random,standard,0,5,14,0.1787253990769386,0.9697,0.5076
bio,random,standard,0,5,15,0.1807658076286316,0.9628,0.3175
bio,random,standard,0,5,16,0.1929668188095092,0.9717,0.2843
bio,random,standard,0,5,17,0.1793004348874092,0.9732,0.4818
bio,random,standard,0,5,18,0.1757138893008232,0.9725,0.2658
bio,random,standard,0,5,19,0.1595326364040374,0.9771,0.2574
bio,random,standard,0,5,20,0.1397601589560508,0.9823,0.3269
bio,random,standard,0,5,21,0.1374950893223285,0.9732,0.2638
bio,random,standard,0,5,22,0.136575561016798,0.983,0.3295
bio,random,standard,0,5,23,0.1405892819166183,0.9803,0.2703
bio,random,standard,0,5,24,0.1189824156463146,0.9723,0.2831
bio,random,standard,0,5,25,0.1278496831655502,0.9826,0.3356
bio,random,standard,4,5,1,0.6355341970920563,0.8394,2.6985
bio,random,standard,4,5,2,0.5685637295246124,0.7181,1.125
bio,random,standard,4,5,3,1.0893833935260773,0.7079,1.3604
bio,random,standard,4,5,4,0.7704366594552994,0.8974,0.8049
bio,random,standard,4,5,5,0.3154301047325134,0.8894,1.0366
bio,random,standard,4,5,6,0.288387767970562,0.8812,0.506
