region,arm,seed,N,edges,n_in,n_out,wall_s,test_low_auprc,test_low_auroc,test_low_recall,test_low_specificity,test_low_precision,test_low_recall_at_fpr10,test_low_recall_at_fpr05,test_low_balanced_acc,test_low_f1_at_0p5,test_low_f1_best,test_low_thr_f1_best,test_low_accuracy,test_low_n,test_low_n_pos,test_iid_auprc,test_iid_auroc,test_iid_recall,test_iid_specificity,test_iid_precision,test_iid_recall_at_fpr10,test_iid_recall_at_fpr05,test_iid_balanced_acc,test_iid_f1_at_0p5,test_iid_f1_best,test_iid_thr_f1_best,test_iid_accuracy,test_iid_n,test_iid_n_pos
MB,random,0,3499,274271,406,96,100.5,0.98084,0.86324,0.89152,0.58621,0.94516,0.64224,0.62572,0.73886,0.91756,0.95189,0.00237,0.8576,1566,1392,0.95415,0.88026,0.93534,0.58621,0.85771,0.66379,0.62284,0.76078,0.89485,0.90414,0.30086,0.84013,638,464
CX,degree,4,3499,482490,307,327,159.3,0.98715,0.90634,0.88937,0.71264,0.96118,0.69325,0.66667,0.80101,0.92388,0.96083,0.00051,0.86973,1566,1392,0.97324,0.93116,0.94181,0.71264,0.89733,0.72629,0.69612,0.82723,0.91903,0.92612,0.44759,0.87931,638,464
OL,degree,2,3499,137087,1399,22,73.4,0.98065,0.86596,0.88003,0.60345,0.94668,0.63649,0.54239,0.74174,0.91214,0.95655,0.00515,0.8493,1566,1392,0.96282,0.90558,0.94612,0.60345,0.86417,0.73276,0.62716,0.77478,0.90329,0.91559,0.36214,0.85266,638,464
AL,degree,0,3499,258882,2385,685,91.4,0.98635,0.90044,0.89009,0.66667,0.95528,0.69756,0.65589,0.77838,0.92153,0.95616,0.00313,0.86526,1566,1392,0.97065,0.9241,0.95259,0.66667,0.884,0.71552,0.70905,0.80963,0.91701,0.92762,0.33006,0.87461,638,464
MB,connectome,4,3499,274271,406,96,106.0,0.98756,0.91043,0.87931,0.72414,0.96226,0.68894,0.66092,0.80172,0.91892,0.96,0.00289,0.86207,1566,1392,0.97217,0.92822,0.90302,0.72414,0.89722,0.71767,0.70043,0.81358,0.90011,0.92923,0.25527,0.85423,638,464
CX,connectome,2,3499,482490,307,327,97.1,0.98585,0.89938,0.80963,0.74713,0.96243,0.67672,0.62931,0.77838,0.87944,0.96144,0.0055,0.80268,1566,1392,0.97599,0.93781,0.89655,0.74713,0.90435,0.7694,0.71552,0.82184,0.90043,0.93047,0.31463,0.8558,638,464
OL,connectome,0,3499,137087,1399,22,29.3,1.0,0.5,1.0,0.0,0.88889,0.0,0.0,0.5,0.94118,1.0,0.54614,0.88889,1566,1392,1.0,0.5,1.0,0.0,0.72727,0.0,0.0,0.5,0.84211,1.0,0.54614,0.72727,638,464
OL,random,4,3499,137087,1399,22,79.4,0.98883,0.91874,0.90517,0.71839,0.96257,0.70474,0.6523,0.81178,0.93299,0.96162,0.00553,0.88442,1566,1392,0.97907,0.94576,0.96552,0.71839,0.90141,0.76724,0.73491,0.84195,0.93236,0.93306,0.41379,0.89812,638,464
AL,degree,5,3499,258882,2385,685,70.3,0.98278,0.87858,0.81466,0.72414,0.95939,0.63721,0.60057,0.7694,0.88112,0.95386,0.0005,0.8046,1566,1392,0.96787,0.91918,0.9181,0.72414,0.89873,0.6875,0.65948,0.82112,0.90832,0.922,0.13905,0.8652,638,464
MB,degree,3,3499,274271,406,96,83.1,0.98596,0.90062,0.82615,0.71839,0.95913,0.66164,0.62069,0.77227,0.88769,0.96226,0.01428,0.81418,1566,1392,0.97312,0.93098,0.8944,0.71839,0.8944,0.73707,0.68966,0.80639,0.8944,0.93265,0.33466,0.84639,638,464
