model,axis,lr,rho,wd,K,mean,std,count
spectrum_topk,K,0.001,0.95,0.0,5,0.5306393553813299,0.0008143426134254592,3
spectrum_topk,lr,0.0003,0.95,0.0,3,0.5716707532604536,0.004981838226724619,3
spectrum_topk,lr,0.001,0.95,0.0,3,0.4701768445471923,0.0007986303025185851,3
spectrum_topk,lr,0.003,0.95,0.0,3,0.46090639258424443,0.0011013450904337448,3
spectrum_topk,lr,0.01,0.95,0.0,3,0.45452050119638443,0.001998634198090854,3
spectrum_topk,lr,0.03,0.95,0.0,3,0.44097653528054553,0.00129840137562531,3
spectrum_topk,rho,0.001,0.9,0.0,3,0.4715404336651166,0.0007997908997931956,3
spectrum_topk,rho,0.001,0.99,0.0,3,0.46924059217174846,0.0007752871796667464,3
spectrum_topk,wd,0.001,0.95,1e-05,3,0.47182759766777355,0.0008641807723101494,3
spectrum_topk,wd,0.001,0.95,0.0001,3,0.4852231939633687,0.0011685896749622155,3
weight_shuffle,K,0.001,0.95,0.0,2,0.41705314815044403,0.006665940803955604,3
weight_shuffle,K,0.001,0.95,0.0,5,0.4949458874762058,0.0008559467841794537,3
weight_shuffle,lr,0.0003,0.95,0.0,3,0.49638742208480835,0.0015165863192998042,3
weight_shuffle,lr,0.001,0.95,0.0,3,0.4622449614107609,0.0063338329923892924,3
weight_shuffle,lr,0.003,0.95,0.0,3,0.4050560034811497,0.00352888828045909,3
weight_shuffle,lr,0.01,0.95,0.0,3,0.3940066148837407,0.008040487421613927,3
weight_shuffle,lr,0.03,0.95,0.0,3,0.45341598118344945,0.006053412015605013,3
weight_shuffle,rho,0.001,0.9,0.0,3,0.46492965271075565,0.0027553598798920015,3
weight_shuffle,rho,0.001,0.99,0.0,3,0.4354627418021361,0.009407117715380902,3
weight_shuffle,wd,0.001,0.95,1e-05,3,0.4621257930994034,0.006205192259499969,3
weight_shuffle,wd,0.001,0.95,0.0001,3,0.46529944861928624,0.0062930438319657835,3
