bodyId,index,type,instance,pool,is_sensory,is_internal,is_output,outside_input_frac,outside_output_frac,post_in_cx_primary,pre_in_cx_primary,assignment_reason
240081461,77,,,internal,False,True,False,0.0,0.0,67.0,23.0,near_tie_internal_default
240081473,78,,,internal,False,True,False,0.0,0.0,89.0,36.0,near_tie_internal_default
240081558,79,,,internal,False,True,False,0.0,0.0,120.0,39.0,near_tie_internal_default
240081575,80,,,internal,False,True,False,0.0,0.0392156862745098,106.0,49.0,near_tie_internal_default
240081613,81,,,internal,False,True,False,0.0,0.0,135.0,40.0,near_tie_internal_default
240081631,82,,,internal,False,True,False,0.0,0.0,117.0,49.0,near_tie_internal_default
240081637,83,,,internal,False,True,False,0.0,0.0,69.0,25.0,near_tie_internal_default
240081652,84,,,internal,False,True,False,0.0,0.0,86.0,36.0,near_tie_internal_default
240085842,85,,,internal,False,True,False,0.0,0.0,99.0,54.0,near_tie_internal_default
264083994,86,DN1a,DN1a_R,internal,False,True,False,0.9859044635865309,0.9949367088607595,18.0,2.0,near_tie_internal_default
268725517,87,PAM09,PAM09(B1ped)_L,internal,False,True,False,0.06188118811881188,0.008298755186721992,758.0,239.0,near_tie_internal_default
268731005,88,SMP146,SMP146(ADM10)_L,internal,False,True,False,0.985698261357263,0.9365904365904366,51.0,61.0,near_tie_internal_default
270089247,89,,,internal,False,True,False,0.024793388429752067,0.03508771929824561,118.0,55.0,near_tie_internal_default
270089295,90,,,internal,False,True,False,0.0,0.0,20.0,11.0,near_tie_internal_default
270089341,91,,,internal,False,True,False,0.0,0.0,101.0,52.0,near_tie_internal_default
270093396,92,,,internal,False,True,False,0.018018018018018018,0.0,109.0,48.0,near_tie_internal_default
270093398,93,,,internal,False,True,False,0.0,0.0,100.0,41.0,near_tie_internal_default
270093399,94,,,internal,False,True,False,0.0,0.0,68.0,31.0,near_tie_internal_default
270093428,95,,,internal,False,True,False,0.0,0.0,85.0,28.0,near_tie_internal_default
270093467,96,,,internal,False,True,False,0.0,0.0,104.0,35.0,near_tie_internal_default
270093476,97,,,internal,False,True,False,0.0,0.0,41.0,15.0,near_tie_internal_default
270093503,98,,,internal,False,True,False,0.0,0.0,94.0,26.0,near_tie_internal_default
270093514,99,,,internal,False,True,False,0.0,0.0,110.0,51.0,near_tie_internal_default
270093542,100,,,internal,False,True,False,0.0,0.0,92.0,39.0,near_tie_internal_default
270093552,101,,,internal,False,True,False,0.0,0.0,129.0,45.0,near_tie_internal_default
270097686,102,,,internal,False,True,False,0.007142857142857143,0.0,1390.0,35.0,near_tie_internal_default
270097733,103,,,internal,False,True,False,0.0,0.0,77.0,29.0,near_tie_internal_default
270425687,104,,,internal,False,True,False,0.0,0.0,99.0,31.0,near_tie_internal_default
270425716,105,,,internal,False,True,False,0.0,0.0,134.0,9.0,near_tie_internal_default
270425765,106,,,internal,False,True,False,0.0,0.0,91.0,28.0,near_tie_internal_default
270425785,107,,,internal,False,True,False,0.0,0.0,110.0,30.0,near_tie_internal_default
270425792,108,,,internal,False,True,False,0.0,0.0,104.0,32.0,near_tie_internal_default
270425796,109,,,internal,False,True,False,0.0,0.0,57.0,27.0,near_tie_internal_default
270425818,110,,,internal,False,True,False,0.0,0.0,104.0,28.0,near_tie_internal_default
270425841,111,,,internal,False,True,False,0.0,0.0,50.0,19.0,near_tie_internal_default
270429968,112,,,internal,False,True,False,0.0,0.0,90.0,37.0,near_tie_internal_default
270429982,113,,,internal,False,True,False,0.0,0.0,89.0,28.0,near_tie_internal_default
270429988,114,,,internal,False,True,False,0.0,0.0,93.0,27.0,near_tie_internal_default
270430027,115,,,internal,False,True,False,0.0,0.0,102.0,35.0,near_tie_internal_default
270430039,116,,,internal,False,True,False,0.0,0.0,78.0,32.0,near_tie_internal_default
270430062,117,,,internal,False,True,False,0.0,0.0,64.0,30.0,near_tie_internal_default
270430085,118,,,internal,False,True,False,0.0,0.0,97.0,37.0,near_tie_internal_default
270430134,119,,,internal,False,True,False,0.0,0.0,69.0,31.0,near_tie_internal_default
270430164,120,,,internal,False,True,False,0.0,0.0,70.0,24.0,near_tie_internal_default
270430198,121,,,internal,False,True,False,0.0,0.0,80.0,28.0,near_tie_internal_default
270430240,122,,,internal,False,True,False,0.0,0.0,95.0,32.0,near_tie_internal_default
270430263,123,,,internal,False,True,False,0.0,0.0,55.0,21.0,near_tie_internal_default
270430275,124,,,internal,False,True,False,0.0,0.0,36.0,17.0,near_tie_internal_default
270430276,125,,,internal,False,True,False,0.0,0.0,101.0,32.0,near_tie_internal_default
270430340,126,,,internal,False,True,False,0.0,0.0,94.0,39.0,near_tie_internal_default
270430424,127,,,internal,False,True,False,0.0,0.0,68.0,23.0,near_tie_internal_default
270430448,128,,,internal,False,True,False,0.0,0.0,78.0,32.0,near_tie_internal_default
270430461,129,,,internal,False,True,False,0.0,0.0,120.0,41.0,near_tie_internal_default
270430491,130,,,internal,False,True,False,0.0,0.0,61.0,31.0,near_tie_internal_default
270430529,131,,,internal,False,True,False,0.0,0.0,64.0,30.0,near_tie_internal_default
270434333,132,,,internal,False,True,False,0.0,0.0,329.0,74.0,near_tie_internal_default
270434339,133,,,internal,False,True,False,0.0,0.0,89.0,36.0,near_tie_internal_default
270434364,134,,,internal,False,True,False,0.0,0.0,92.0,39.0,near_tie_internal_default
270434391,135,,,internal,False,True,False,0.0,0.0,88.0,41.0,near_tie_internal_default
270434402,136,,,internal,False,True,False,0.0,0.0,91.0,33.0,near_tie_internal_default
270434420,137,,,internal,False,True,False,0.0,0.0,35.0,15.0,near_tie_internal_default
270434421,138,,,internal,False,True,False,0.0,0.0,13.0,5.0,near_tie_internal_default
270434468,139,,,internal,False,True,False,0.0,0.0,21.0,8.0,near_tie_internal_default
270434473,140,,,internal,False,True,False,0.0,0.0,121.0,42.0,near_tie_internal_default
270434515,141,,,internal,False,True,False,0.0,0.0,66.0,33.0,near_tie_internal_default
270434529,142,,,internal,False,True,False,0.0,0.0,81.0,31.0,near_tie_internal_default
270434532,143,,,internal,False,True,False,0.0,0.0,95.0,32.0,near_tie_internal_default
270434559,144,,,internal,False,True,False,0.0,0.0,105.0,39.0,near_tie_internal_default
270434571,145,,,internal,False,True,False,0.0,0.0,59.0,27.0,near_tie_internal_default
270434573,146,,,internal,False,True,False,0.0,0.0,128.0,43.0,near_tie_internal_default
270434595,147,,,internal,False,True,False,0.0,0.0,2.0,2.0,near_tie_internal_default
270434621,148,,,internal,False,True,False,0.0,0.0,79.0,29.0,near_tie_internal_default
270434676,149,,,internal,False,True,False,0.0,0.0,133.0,52.0,near_tie_internal_default
270434704,150,,,internal,False,True,False,0.0,0.0,11.0,0.0,near_tie_internal_default
270434750,151,,,internal,False,True,False,0.0,0.0,80.0,31.0,near_tie_internal_default
270434850,152,,,internal,False,True,False,0.0,0.0,80.0,36.0,near_tie_internal_default
270434861,153,,,internal,False,True,False,0.0,0.0,86.0,34.0,near_tie_internal_default
270434885,154,,,internal,False,True,False,0.0,0.0,56.0,24.0,near_tie_internal_default
270438687,155,,,internal,False,True,False,0.00980392156862745,0.0,101.0,45.0,near_tie_internal_default
270438727,156,,,internal,False,True,False,0.0,0.0,14.0,0.0,near_tie_internal_default
270438843,157,,,internal,False,True,False,0.0,0.0,132.0,55.0,near_tie_internal_default
270438872,158,,,internal,False,True,False,0.0,0.0,23.0,11.0,near_tie_internal_default
270438881,159,,,internal,False,True,False,0.0,0.0,108.0,36.0,near_tie_internal_default
